Date,Open,High,Low,Close,Volume,Adj Close
2015-03-13,0.014,0.015,0.014,0.015,1247300,0.015
2015-03-16,0.015,0.015,0.015,0.015,000,0.015
2015-03-17,0.015,0.015,0.014,0.014,1333100,0.014
2015-03-18,0.014,0.014,0.014,0.014,728300,0.014
2015-03-19,0.013,0.013,0.013,0.013,35700,0.013
2015-03-20,0.014,0.014,0.013,0.013,369600,0.013
2015-03-23,0.013,0.014,0.013,0.014,236200,0.014
2015-03-24,0.015,0.015,0.014,0.015,872100,0.015
2015-03-25,0.015,0.015,0.015,0.015,882600,0.015
2015-03-26,0.015,0.015,0.014,0.014,111000,0.014
2015-03-27,0.016,0.016,0.015,0.015,814000,0.015
2015-03-30,0.015,0.015,0.013,0.014,1673200,0.014
2015-03-31,0.014,0.014,0.014,0.014,50000,0.014
2015-04-01,0.014,0.014,0.013,0.013,1736300,0.013
2015-04-02,0.015,0.015,0.015,0.015,50000,0.015
2015-04-03,0.015,0.015,0.015,0.015,000,0.015
2015-04-06,0.015,0.015,0.015,0.015,000,0.015
2015-04-07,0.015,0.015,0.015,0.015,000,0.015
2015-04-08,0.015,0.015,0.014,0.014,123700,0.014
2015-04-09,0.015,0.016,0.014,0.014,909700,0.014
2015-04-10,0.014,0.014,0.014,0.014,000,0.014
2015-04-13,0.015,0.015,0.013,0.013,1104100,0.013
2015-04-14,0.013,0.013,0.012,0.013,2003600,0.013
2015-04-15,0.013,0.013,0.013,0.013,800000,0.013
2015-04-16,0.014,0.014,0.014,0.014,780700,0.014
2015-04-17,0.014,0.014,0.014,0.014,000,0.014
2015-04-20,0.013,0.013,0.011,0.012,4957200,0.012
2015-04-21,0.012,0.012,0.011,0.011,360900,0.011
2015-04-22,0.011,0.012,0.011,0.011,1672600,0.011
2015-04-23,0.011,0.011,0.01,0.01,3425400,0.01
2015-04-24,0.01,0.01,0.01,0.01,000,0.01
2015-04-27,0.01,0.01,0.01,0.01,000,0.01
2015-04-28,0.01,0.014,0.01,0.01,14022900,0.01
2015-04-29,0.01,0.01,0.009,0.009,5917200,0.009
2015-04-30,0.009,0.009,0.008,0.008,3037900,0.008
2015-05-01,0.008,0.008,0.008,0.008,354600,0.008
2015-05-04,0.008,0.008,0.007,0.007,890700,0.007
2015-05-05,0.007,0.008,0.007,0.008,3717500,0.008
2015-05-06,0.008,0.008,0.007,0.007,2060300,0.007
2015-05-07,0.007,0.007,0.007,0.007,805600,0.007
2015-05-08,0.007,0.007,0.007,0.007,1328600,0.007
2015-05-11,0.007,0.008,0.007,0.008,692700,0.008
2015-05-12,0.007,0.007,0.007,0.007,63100,0.007
2015-05-13,0.007,0.007,0.007,0.007,1134100,0.007
2015-05-14,0.007,0.007,0.007,0.007,100000,0.007
2015-05-15,0.007,0.007,0.007,0.007,2264800,0.007
2015-05-18,0.008,0.008,0.007,0.007,116300,0.007
2015-05-19,0.007,0.007,0.007,0.007,100000,0.007
2015-05-20,0.007,0.007,0.007,0.007,103900,0.007
2015-05-21,0.006,0.006,0.006,0.006,882700,0.006
2015-05-22,0.006,0.007,0.006,0.007,1325700,0.007
2015-05-25,0.007,0.007,0.007,0.007,27000,0.007
2015-05-26,0.007,0.007,0.007,0.007,000,0.007
2015-05-27,0.007,0.008,0.007,0.007,712400,0.007
2015-05-28,0.008,0.009,0.008,0.008,6303100,0.008
2015-05-29,0.008,0.008,0.008,0.008,000,0.008
2015-06-01,0.008,0.008,0.008,0.008,20000,0.008
2015-06-02,0.008,0.009,0.008,0.009,567400,0.009
2015-06-03,0.009,0.01,0.009,0.01,4266800,0.01
2015-06-04,0.01,0.01,0.008,0.008,7913200,0.008
2015-06-05,0.008,0.008,0.008,0.008,1088400,0.008
2015-06-08,0.008,0.008,0.008,0.008,000,0.008
2015-06-09,0.008,0.008,0.008,0.008,562900,0.008
2015-06-10,0.008,0.008,0.008,0.008,000,0.008
2015-06-11,0.007,0.008,0.007,0.008,215000,0.008
2015-06-12,0.007,0.007,0.007,0.007,88100,0.007
2015-06-15,0.008,0.008,0.008,0.008,2605900,0.008
2015-06-16,0.008,0.008,0.008,0.008,62500,0.008
2015-06-17,0.011,0.013,0.009,0.009,38384600,0.009
2015-06-18,0.009,0.009,0.009,0.009,5666800,0.009
2015-06-19,0.009,0.009,0.008,0.008,4115500,0.008
2015-06-22,0.008,0.008,0.008,0.008,298300,0.008
2015-06-23,0.008,0.008,0.008,0.008,267000,0.008
2015-06-24,0.008,0.008,0.008,0.008,260400,0.008
2015-06-25,0.008,0.008,0.007,0.007,6605100,0.007
2015-06-26,0.008,0.008,0.008,0.008,430000,0.008
2015-06-29,0.008,0.008,0.008,0.008,000,0.008
2015-06-30,0.008,0.008,0.008,0.008,000,0.008
2015-07-01,0.01,0.01,0.008,0.008,7088800,0.008
2015-07-02,0.008,0.008,0.008,0.008,851500,0.008
2015-07-03,0.008,0.008,0.008,0.008,000,0.008
2015-07-06,0.008,0.008,0.007,0.007,3418100,0.007
2015-07-07,0.008,0.008,0.008,0.008,500000,0.008
2015-07-08,0.008,0.008,0.008,0.008,000,0.008
2015-07-09,0.008,0.008,0.008,0.008,000,0.008
2015-07-10,0.007,0.008,0.007,0.008,631200,0.008
2015-07-13,0.007,0.007,0.007,0.007,695700,0.007
2015-07-14,0.007,0.007,0.007,0.007,652900,0.007
2015-07-15,0.008,0.008,0.007,0.007,642000,0.007
2015-07-16,0.007,0.0075,0.007,0.007,177700,0.007
2015-07-17,0.007,0.007,0.007,0.007,596800,0.007
2015-07-20,0.008,0.008,0.008,0.008,250000,0.008
2015-07-21,0.008,0.008,0.008,0.008,3937700,0.008
2015-07-22,0.009,0.009,0.008,0.008,83800,0.008
2015-07-23,0.008,0.008,0.008,0.008,000,0.008
2015-07-24,0.008,0.008,0.008,0.008,2622200,0.008
2015-07-27,0.008,0.008,0.008,0.008,1030900,0.008
2015-07-28,0.008,0.008,0.008,0.008,000,0.008
2015-07-29,0.008,0.008,0.008,0.008,000,0.008
2015-07-30,0.01,0.01,0.007,0.007,8579100,0.007
2015-07-31,0.008,0.008,0.007,0.007,328500,0.007
2015-08-03,0.007,0.007,0.007,0.007,1929900,0.007
2015-08-04,0.007,0.007,0.007,0.007,727100,0.007
2015-08-05,0.007,0.007,0.006,0.006,1956200,0.006
2015-08-06,0.006,0.006,0.006,0.006,500000,0.006
2015-08-07,0.006,0.006,0.006,0.006,000,0.006
2015-08-10,0.006,0.006,0.006,0.006,000,0.006
2015-08-11,0.007,0.007,0.007,0.007,211300,0.007
2015-08-12,0.007,0.007,0.007,0.007,1436400,0.007
2015-08-13,0.007,0.007,0.007,0.007,1963600,0.007
2015-08-14,0.007,0.007,0.007,0.007,000,0.007
2015-08-17,0.007,0.007,0.007,0.007,331000,0.007
2015-08-18,0.007,0.007,0.007,0.007,000,0.007
2015-08-19,0.007,0.007,0.007,0.007,000,0.007
2015-08-20,0.006,0.007,0.006,0.007,859100,0.007
2015-08-24,0.006,0.006,0.006,0.006,150000,0.006
2015-08-25,0.006,0.006,0.006,0.006,1550400,0.006
2015-08-26,0.006,0.006,0.006,0.006,1245900,0.006
2015-08-27,0.006,0.006,0.006,0.006,000,0.006
2015-08-28,0.006,0.007,0.006,0.007,821100,0.007
2015-08-31,0.007,0.007,0.007,0.007,43700,0.007
2015-09-01,0.007,0.007,0.007,0.007,000,0.007
2015-09-02,0.007,0.007,0.007,0.007,000,0.007
2015-09-03,0.007,0.007,0.006,0.006,1021100,0.006
2015-09-04,0.006,0.006,0.006,0.006,000,0.006
2015-09-07,0.006,0.006,0.006,0.006,2000000,0.006
2015-09-08,0.006,0.006,0.006,0.006,100000,0.006
2015-09-09,0.006,0.006,0.006,0.006,1371600,0.006
2015-09-10,0.006,0.006,0.006,0.006,150300,0.006
2015-09-11,0.006,0.006,0.006,0.006,000,0.006
2015-09-14,0.006,0.006,0.006,0.006,000,0.006
2015-09-15,0.005,0.005,0.005,0.005,120000,0.005
2015-09-16,0.005,0.005,0.005,0.005,1230000,0.005
2015-09-17,0.006,0.006,0.005,0.005,2674900,0.005
2015-09-18,0.005,0.005,0.005,0.005,897200,0.005
2015-09-21,0.005,0.005,0.005,0.005,302700,0.005
2015-09-22,0.005,0.005,0.005,0.005,1617200,0.005
2015-09-23,0.006,0.006,0.006,0.006,440000,0.006
2015-09-24,0.005,0.005,0.005,0.005,1580900,0.005
2015-09-25,0.005,0.005,0.005,0.005,2298200,0.005
2015-09-28,0.005,0.006,0.005,0.006,1542300,0.006
2015-09-29,0.006,0.006,0.006,0.006,000,0.006
2015-09-30,0.006,0.006,0.006,0.006,000,0.006
2015-10-01,0.006,0.006,0.006,0.006,000,0.006
2015-10-02,0.005,0.005,0.005,0.005,3999500,0.005
2015-10-05,0.005,0.006,0.005,0.006,1266600,0.006
2015-10-06,0.006,0.006,0.006,0.006,1350000,0.006
2015-10-07,0.006,0.007,0.006,0.007,1954000,0.007
2015-10-08,0.007,0.007,0.007,0.007,72000,0.007
2015-10-09,0.007,0.007,0.006,0.006,878300,0.006
2015-10-12,0.006,0.006,0.006,0.006,88500,0.006
2015-10-13,0.006,0.006,0.006,0.006,1158200,0.006
2015-10-14,0.006,0.006,0.006,0.006,000,0.006
2015-10-15,0.008,0.008,0.007,0.007,6729300,0.007
2015-10-16,0.007,0.007,0.007,0.007,2575200,0.007
2015-10-19,0.007,0.007,0.007,0.007,000,0.007
2015-10-20,0.006,0.006,0.006,0.006,200000,0.006
2015-10-21,0.007,0.007,0.007,0.007,100000,0.007
2015-10-22,0.007,0.007,0.007,0.007,000,0.007
2015-10-23,0.007,0.007,0.007,0.007,000,0.007
2015-10-26,0.007,0.007,0.006,0.006,1195500,0.006
2015-10-27,0.006,0.006,0.006,0.006,000,0.006
2015-10-28,0.006,0.006,0.006,0.006,260000,0.006
2015-10-29,0.006,0.006,0.006,0.006,349900,0.006
2015-10-30,0.006,0.006,0.006,0.006,000,0.006
2015-11-02,0.006,0.006,0.006,0.006,000,0.006
2015-11-03,0.005,0.005,0.005,0.005,144600,0.005
2015-11-04,0.005,0.005,0.005,0.005,000,0.005
2015-11-05,0.005,0.005,0.005,0.005,000,0.005
2015-11-06,0.005,0.006,0.005,0.005,1406200,0.005
2015-11-09,0.006,0.006,0.006,0.006,1000000,0.006
2015-11-10,0.006,0.006,0.006,0.006,3137000,0.006
2015-11-11,0.006,0.006,0.006,0.006,000,0.006
2015-11-12,0.005,0.005,0.005,0.005,149400,0.005
2015-11-13,0.005,0.005,0.005,0.005,245700,0.005
2015-11-16,0.005,0.005,0.005,0.005,200000,0.005
2015-11-17,0.005,0.005,0.005,0.005,214000,0.005
2015-11-18,0.005,0.005,0.005,0.005,000,0.005
2015-11-19,0.005,0.005,0.005,0.005,291200,0.005
2015-11-20,0.005,0.005,0.005,0.005,578200,0.005
2015-11-23,0.006,0.006,0.005,0.006,3355200,0.006
2015-11-24,0.006,0.006,0.006,0.006,320000,0.006
2015-11-25,0.006,0.006,0.006,0.006,000,0.006
2015-11-26,0.006,0.006,0.006,0.006,150000,0.006
2015-11-27,0.006,0.006,0.006,0.006,119600,0.006
2015-11-30,0.006,0.006,0.005,0.005,3550100,0.005
2015-12-01,0.006,0.006,0.006,0.006,399000,0.006
2015-12-02,0.005,0.005,0.005,0.005,112200,0.005
2015-12-03,0.005,0.005,0.005,0.005,3000,0.005
2015-12-04,0.005,0.005,0.005,0.005,250000,0.005
2015-12-07,0.006,0.006,0.006,0.006,1869300,0.006
2015-12-08,0.005,0.005,0.005,0.005,115200,0.005
2015-12-09,0.005,0.005,0.005,0.005,830000,0.005
2015-12-10,0.005,0.005,0.005,0.005,000,0.005
2015-12-11,0.005,0.005,0.005,0.005,000,0.005
2015-12-14,0.005,0.005,0.005,0.005,000,0.005
2015-12-15,0.005,0.005,0.005,0.005,000,0.005
2015-12-16,0.005,0.005,0.005,0.005,000,0.005
2015-12-17,0.004,0.004,0.004,0.004,711200,0.004
2015-12-18,0.004,0.004,0.004,0.004,000,0.004
2015-12-21,0.004,0.004,0.004,0.004,1212800,0.004
2015-12-22,0.004,0.004,0.004,0.004,539300,0.004
2015-12-23,0.004,0.004,0.004,0.004,000,0.004
2015-12-24,0.004,0.004,0.004,0.004,000,0.004
2015-12-25,0.004,0.004,0.004,0.004,000,0.004
2015-12-28,0.004,0.004,0.004,0.004,000,0.004
2015-12-29,0.004,0.004,0.004,0.004,000,0.004
2015-12-30,0.004,0.004,0.004,0.004,763500,0.004
2015-12-31,0.004,0.004,0.004,0.004,1000000,0.004
2016-01-01,0.004,0.004,0.004,0.004,000,0.004
2016-01-04,0.004,0.004,0.004,0.004,000,0.004
2016-01-05,0.004,0.005,0.004,0.005,234300,0.005
2016-01-06,0.005,0.005,0.005,0.005,000,0.005
2016-01-07,0.004,0.004,0.004,0.004,1922300,0.004
2016-01-08,0.004,0.004,0.003,0.003,1681700,0.003
2016-01-11,0.003,0.003,0.003,0.003,000,0.003
2016-01-12,0.003,0.003,0.003,0.003,000,0.003
2016-01-13,0.003,0.003,0.003,0.003,000,0.003
2016-01-14,0.004,0.004,0.004,0.004,500000,0.004
2016-01-15,0.004,0.004,0.004,0.004,000,0.004
2016-01-18,0.004,0.004,0.004,0.004,000,0.004
2016-01-19,0.004,0.004,0.004,0.004,000,0.004
2016-01-20,0.004,0.004,0.004,0.004,000,0.004
2016-01-21,0.003,0.003,0.003,0.003,110000,0.003
2016-01-22,0.004,0.004,0.004,0.004,123600,0.004
2016-01-25,0.004,0.004,0.004,0.004,000,0.004
2016-01-26,0.004,0.004,0.004,0.004,000,0.004
2016-01-27,0.004,0.004,0.004,0.004,1300,0.004
2016-01-28,0.004,0.004,0.004,0.004,100700,0.004
2016-01-29,0.004,0.004,0.004,0.004,91500,0.004
2016-02-01,0.004,0.004,0.004,0.004,000,0.004
2016-02-02,0.004,0.004,0.004,0.004,000,0.004
2016-02-03,0.003,0.004,0.003,0.004,322000,0.004
2016-02-04,0.003,0.003,0.003,0.003,3847400,0.003
2016-02-05,0.003,0.003,0.003,0.003,000,0.003
2016-02-08,0.003,0.004,0.003,0.004,2347300,0.004
2016-02-09,0.003,0.003,0.002,0.002,12353600,0.002
2016-02-10,0.002,0.002,0.002,0.002,000,0.002
2016-02-11,0.002,0.002,0.002,0.002,000,0.002
2016-02-12,0.002,0.002,0.002,0.002,000,0.002
2016-02-15,0.002,0.002,0.002,0.002,000,0.002
2016-02-16,0.002,0.002,0.002,0.002,000,0.002
2016-02-17,0.002,0.002,0.002,0.002,125000,0.002
2016-02-18,0.002,0.002,0.002,0.002,000,0.002
2016-02-19,0.002,0.002,0.002,0.002,000,0.002
2016-02-22,0.002,0.002,0.002,0.002,1000000,0.002
2016-02-23,0.002,0.0025,0.002,0.002,1100000,0.002
2016-02-24,0.002,0.002,0.002,0.002,000,0.002
2016-02-25,0.002,0.002,0.002,0.002,000,0.002
2016-02-26,0.002,0.002,0.002,0.002,000,0.002
2016-02-29,0.002,0.002,0.002,0.002,000,0.002
2016-03-01,0.002,0.002,0.002,0.002,000,0.002
2016-03-02,0.002,0.002,0.002,0.002,000,0.002
2016-03-03,0.002,0.002,0.002,0.002,000,0.002
2016-03-04,0.002,0.0025,0.002,0.002,307200,0.002
2016-03-07,0.002,0.002,0.002,0.002,000,0.002
2016-03-08,0.002,0.002,0.002,0.002,000,0.002
2016-03-09,0.002,0.002,0.002,0.002,000,0.002
2016-03-10,0.002,0.002,0.002,0.002,000,0.002
2016-03-11,0.002,0.002,0.002,0.002,000,0.002
2016-03-14,0.002,0.002,0.002,0.002,000,0.002
2016-03-15,0.002,0.002,0.002,0.002,000,0.002
2016-03-16,0.003,0.003,0.003,0.003,166600,0.003
2016-03-17,0.003,0.003,0.002,0.002,918300,0.002
2016-03-18,0.002,0.002,0.002,0.002,400000,0.002
2016-03-21,0.002,0.002,0.002,0.002,000,0.002
2016-03-22,0.002,0.0025,0.002,0.002,3750000,0.002
2016-03-23,0.002,0.002,0.002,0.002,000,0.002
2016-03-24,0.002,0.002,0.002,0.002,000,0.002
2016-03-25,0.002,0.002,0.002,0.002,000,0.002
2016-03-28,0.002,0.002,0.002,0.002,000,0.002
2016-03-29,0.002,0.002,0.002,0.002,000,0.002
2016-03-30,0.002,0.002,0.002,0.002,000,0.002
2016-03-31,0.002,0.002,0.002,0.002,000,0.002
2016-04-01,0.002,0.002,0.002,0.002,250000,0.002
2016-04-04,0.002,0.002,0.002,0.002,000,0.002
2016-04-05,0.002,0.002,0.002,0.002,000,0.002
2016-04-06,0.002,0.002,0.002,0.002,000,0.002
2016-04-07,0.002,0.002,0.002,0.002,000,0.002
2016-04-08,0.002,0.002,0.002,0.002,57400,0.002
2016-04-11,0.002,0.002,0.002,0.002,473000,0.002
2016-04-12,0.002,0.002,0.002,0.002,7654500,0.002
2016-04-13,0.002,0.002,0.002,0.002,249000,0.002
2016-04-14,0.002,0.002,0.002,0.002,1100000,0.002
2016-04-15,0.002,0.002,0.002,0.002,10248900,0.002


2016-04-18,0.002,0.002,0.002,0.002,000,0.002
2016-04-19,0.002,0.002,0.002,0.002,000,0.002
2016-04-20,0.002,0.002,0.002,0.002,000,0.002
2016-04-21,0.003,0.003,0.002,0.002,2499000,0.002
2016-04-22,0.002,0.002,0.002,0.002,000,0.002


2016-04-25,0.002,0.002,0.002,0.002,000,0.002
2016-04-26,0.002,0.002,0.002,0.002,000,0.002
2016-04-27,0.002,0.002,0.002,0.002,000,0.002
2016-04-28,0.002,0.002,0.002,0.002,100000,0.002
2016-04-29,0.002,0.002,0.002,0.002,000,0.002


2016-05-02,0.002,0.002,0.002,0.002,000,0.002
2016-05-03,0.002,0.002,0.002,0.002,1000000,0.002
2016-05-04,0.002,0.002,0.002,0.002,000,0.002
2016-05-05,0.002,0.002,0.002,0.002,000,0.002
2016-05-06,0.003,0.003,0.003,0.003,493300,0.003


2016-05-09,0.002,0.002,0.002,0.002,400000,0.002
2016-05-10,0.002,0.002,0.002,0.002,000,0.002
2016-05-11,0.002,0.002,0.002,0.002,000,0.002
2016-05-12,0.002,0.003,0.002,0.003,6000000,0.003
2016-05-13,0.002,0.0025,0.002,0.002,695600,0.002


2016-05-16,0.003,0.004,0.003,0.004,28113700,0.004
2016-05-17,0.004,0.004,0.004,0.004,000,0.004
2016-05-18,0.004,0.004,0.004,0.004,000,0.004
2016-05-19,0.004,0.004,0.004,0.004,000,0.004
2016-05-20,0.004,0.004,0.004,0.004,000,0.004


2016-05-23,0.005,0.007,0.004,0.004,36485500,0.004
2016-05-24,0.004,0.005,0.003,0.003,17850400,0.003
2016-05-25,0.004,0.004,0.003,0.004,1764000,0.004
2016-05-26,0.004,0.0045,0.003,0.004,18289100,0.004
2016-05-27,0.004,0.004,0.004,0.004,13799900,0.004


2016-05-30,0.006,0.006,0.004,0.005,20149100,0.005
2016-05-31,0.005,0.005,0.005,0.005,10186800,0.005
2016-06-01,0.004,0.004,0.004,0.004,6380000,0.004
2016-06-02,0.004,0.004,0.004,0.004,000,0.004
2016-06-03,0.004,0.0045,0.004,0.0045,3401600,0.0045


2016-06-06,0.004,0.004,0.004,0.004,000,0.004
2016-06-07,0.004,0.005,0.004,0.005,12300000,0.005
2016-06-08,0.005,0.005,0.004,0.004,6500000,0.004
2016-06-09,0.005,0.005,0.004,0.004,1566600,0.004
2016-06-10,0.004,0.004,0.004,0.004,1280300,0.004


2016-06-13,0.004,0.004,0.004,0.004,000,0.004
2016-06-14,0.004,0.004,0.004,0.004,7835100,0.004
