Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.33,1.33,1.33,1.33,000,1.2341
2015-01-02,1.34,1.34,1.32,1.325,879700,1.22946
2015-01-05,1.315,1.345,1.315,1.34,2704000,1.24338
2015-01-06,1.335,1.335,1.31,1.335,3385400,1.23874
2015-01-07,1.325,1.34,1.32,1.33,3997700,1.2341
2015-01-08,1.34,1.345,1.325,1.345,2575200,1.24802
2015-01-09,1.35,1.36,1.345,1.36,7259700,1.26193
2015-01-12,1.35,1.355,1.335,1.35,2825900,1.25265
2015-01-13,1.36,1.365,1.325,1.36,3909000,1.26193
2015-01-14,1.365,1.375,1.35,1.37,4959800,1.27121
2015-01-15,1.36,1.39,1.355,1.38,6851300,1.28049
2015-01-16,1.375,1.39,1.365,1.375,3883900,1.27585
2015-01-19,1.395,1.405,1.375,1.38,7871000,1.28049
2015-01-20,1.375,1.385,1.365,1.38,5577300,1.28049
2015-01-21,1.39,1.40,1.38,1.385,3648000,1.28513
2015-01-22,1.385,1.40,1.375,1.375,3893800,1.27585
2015-01-23,1.39,1.40,1.38,1.40,4349300,1.29905
2015-01-26,1.40,1.40,1.40,1.40,000,1.29905
2015-01-27,1.39,1.395,1.37,1.375,7128800,1.27585
2015-01-28,1.37,1.375,1.355,1.365,4808000,1.26657
2015-01-29,1.355,1.37,1.347,1.37,3820600,1.27121
2015-01-30,1.375,1.40,1.372,1.40,10952300,1.29905
2015-02-02,1.395,1.44,1.39,1.44,5715600,1.33617
2015-02-03,1.44,1.4525,1.42,1.435,4258300,1.33153
2015-02-04,1.44,1.45,1.415,1.43,4864200,1.32689
2015-02-05,1.43,1.445,1.425,1.43,4255500,1.32689
2015-02-06,1.435,1.45,1.425,1.445,2588100,1.3408
2015-02-09,1.435,1.445,1.415,1.43,3071500,1.32689
2015-02-10,1.435,1.435,1.412,1.42,5543500,1.31761
2015-02-11,1.435,1.46,1.425,1.445,3146600,1.3408
2015-02-12,1.445,1.445,1.397,1.41,6092100,1.30833
2015-02-13,1.425,1.435,1.415,1.43,6261500,1.32689
2015-02-16,1.43,1.4325,1.415,1.425,4001000,1.32225
2015-02-17,1.425,1.425,1.395,1.405,6076800,1.30369
2015-02-18,1.41,1.44,1.41,1.44,4587600,1.33617
2015-02-19,1.455,1.465,1.435,1.44,5534700,1.33617
2015-02-20,1.455,1.4575,1.425,1.43,3847600,1.32689
2015-02-23,1.43,1.445,1.405,1.44,4340600,1.33617
2015-02-24,1.44,1.452,1.435,1.445,5356400,1.3408
2015-02-25,1.45,1.47,1.435,1.47,7982900,1.364
2015-02-26,1.47,1.47,1.445,1.455,3367400,1.35008
2015-02-27,1.455,1.465,1.447,1.465,6248400,1.35936
2015-03-02,1.47,1.495,1.465,1.495,5684900,1.3872
2015-03-03,1.50,1.51,1.46,1.49,7074400,1.38256
2015-03-04,1.485,1.495,1.48,1.48,5089400,1.37328
2015-03-05,1.485,1.4875,1.457,1.485,4461600,1.37792
2015-03-06,1.485,1.49,1.472,1.49,2140600,1.38256
2015-03-09,1.48,1.48,1.43,1.44,5106600,1.33617
2015-03-10,1.44,1.45,1.425,1.435,3789000,1.33153
2015-03-11,1.445,1.455,1.435,1.45,4687000,1.34544
2015-03-12,1.45,1.46,1.425,1.43,7407300,1.32689
2015-03-13,1.43,1.43,1.415,1.425,6491500,1.32225
2015-03-16,1.415,1.415,1.38,1.405,5267600,1.30369
2015-03-17,1.43,1.445,1.405,1.415,4856600,1.31297
2015-03-18,1.42,1.42,1.365,1.38,13296100,1.28049
2015-03-19,1.415,1.415,1.395,1.405,8084700,1.30369
2015-03-20,1.41,1.42,1.385,1.42,39021100,1.31761
2015-03-23,1.415,1.42,1.39,1.41,3890900,1.30833
2015-03-24,1.41,1.42,1.405,1.41,4218900,1.30833
2015-03-25,1.42,1.435,1.40,1.405,4408400,1.30369
2015-03-26,1.405,1.415,1.385,1.40,3950100,1.29905
2015-03-27,1.40,1.435,1.40,1.43,3851600,1.32689
2015-03-30,1.42,1.435,1.412,1.43,11932500,1.32689
2015-03-31,1.45,1.47,1.45,1.46,5452200,1.35472
2015-04-01,1.46,1.475,1.455,1.475,4440000,1.36864
2015-04-02,1.48,1.495,1.465,1.48,6191400,1.37328
2015-04-03,1.48,1.48,1.48,1.48,000,1.37328
2015-04-06,1.48,1.48,1.48,1.48,000,1.37328
2015-04-07,1.48,1.495,1.455,1.46,6392700,1.35472
2015-04-08,1.46,1.495,1.455,1.49,3899300,1.38256
2015-04-09,1.49,1.50,1.48,1.495,3242900,1.3872
2015-04-10,1.505,1.515,1.485,1.495,3991100,1.3872
2015-04-13,1.505,1.5175,1.49,1.505,2870900,1.39648
2015-04-14,1.50,1.505,1.495,1.505,1281300,1.39648
2015-04-15,1.505,1.51,1.48,1.505,3934100,1.39648
2015-04-16,1.51,1.545,1.505,1.52,4299100,1.4104
2015-04-17,1.52,1.525,1.505,1.51,2482900,1.40112
2015-04-20,1.50,1.515,1.48,1.49,2966200,1.38256
2015-04-21,1.50,1.505,1.475,1.485,4527100,1.37792
2015-04-22,1.47,1.495,1.47,1.475,3423600,1.36864
2015-04-23,1.47,1.475,1.455,1.47,3185900,1.364
2015-04-24,1.465,1.50,1.462,1.50,3297400,1.39184
2015-04-27,1.495,1.525,1.495,1.525,2847200,1.41504
2015-04-28,1.525,1.525,1.50,1.515,3981500,1.40576
2015-04-29,1.52,1.52,1.465,1.465,6088700,1.35936
2015-04-30,1.465,1.482,1.442,1.475,6321000,1.36864
2015-05-01,1.47,1.48,1.442,1.475,3355400,1.36864
2015-05-04,1.485,1.515,1.475,1.505,4558400,1.39648
2015-05-05,1.505,1.53,1.485,1.495,5930700,1.3872
2015-05-06,1.47,1.48,1.445,1.455,6989000,1.35008
2015-05-07,1.455,1.46,1.425,1.44,4841500,1.33617
2015-05-08,1.45,1.465,1.435,1.445,4215000,1.3408
2015-05-11,1.45,1.465,1.44,1.445,3486800,1.3408
2015-05-12,1.46,1.47,1.44,1.455,6011800,1.35008
2015-05-13,1.45,1.46,1.435,1.44,2882400,1.33617
2015-05-14,1.445,1.46,1.405,1.46,6683300,1.35472
