Date,Open,High,Low,Close,Volume,Adj Close
2015-05-13,0.095,0.095,0.095,0.095,164600,0.095
2015-05-14,0.095,0.095,0.095,0.095,000,0.095
2015-05-15,0.10,0.10,0.10,0.10,3500,0.10
2015-05-18,0.10,0.10,0.10,0.10,000,0.10
2015-05-19,0.10,0.10,0.10,0.10,000,0.10
2015-05-20,0.10,0.10,0.10,0.10,000,0.10
2015-05-21,0.10,0.10,0.10,0.10,000,0.10
2015-05-22,0.10,0.10,0.10,0.10,000,0.10
2015-05-25,0.10,0.10,0.10,0.10,000,0.10
2015-05-26,0.10,0.10,0.10,0.10,1900,0.10
2015-05-27,0.10,0.10,0.10,0.10,000,0.10
2015-05-28,0.10,0.10,0.10,0.10,000,0.10
2015-05-29,0.09,0.09,0.09,0.09,52200,0.09
2015-06-01,0.09,0.09,0.09,0.09,000,0.09
2015-06-02,0.09,0.09,0.09,0.09,000,0.09
2015-06-03,0.09,0.09,0.09,0.09,000,0.09
2015-06-04,0.09,0.09,0.09,0.09,97700,0.09
2015-06-05,0.09,0.09,0.09,0.09,000,0.09
2015-06-08,0.09,0.09,0.09,0.09,000,0.09
2015-06-09,0.09,0.09,0.09,0.09,000,0.09
2015-06-10,0.09,0.09,0.09,0.09,000,0.09
2015-06-11,0.09,0.09,0.09,0.09,000,0.09
2015-06-12,0.09,0.09,0.09,0.09,000,0.09
2015-06-15,0.09,0.09,0.09,0.09,000,0.09
2015-06-16,0.10,0.10,0.10,0.10,12000,0.10
2015-06-17,0.10,0.10,0.10,0.10,000,0.10
2015-06-18,0.10,0.10,0.10,0.10,000,0.10
2015-06-19,0.10,0.10,0.10,0.10,000,0.10
2015-06-22,0.10,0.10,0.10,0.10,000,0.10
2015-06-23,0.10,0.10,0.10,0.10,000,0.10
2015-06-24,0.10,0.10,0.10,0.10,000,0.10
2015-06-25,0.10,0.10,0.10,0.10,000,0.10
2015-06-26,0.10,0.10,0.10,0.10,000,0.10
2015-06-29,0.085,0.085,0.082,0.082,10200,0.082
2015-06-30,0.082,0.082,0.082,0.082,000,0.082
2015-07-01,0.082,0.082,0.082,0.082,000,0.082
2015-07-02,0.082,0.082,0.082,0.082,000,0.082
2015-07-03,0.082,0.082,0.082,0.082,000,0.082
2015-07-06,0.082,0.082,0.082,0.082,000,0.082
2015-07-07,0.082,0.082,0.082,0.082,000,0.082
2015-07-08,0.082,0.082,0.082,0.082,000,0.082
2015-07-09,0.082,0.082,0.082,0.082,000,0.082
2015-07-10,0.082,0.082,0.082,0.082,000,0.082
2015-07-13,0.082,0.082,0.082,0.082,000,0.082
2015-07-14,0.082,0.082,0.082,0.082,000,0.082
2015-07-15,0.09,0.09,0.09,0.09,193400,0.09
2015-07-16,0.09,0.09,0.09,0.09,18900,0.09
2015-07-17,0.09,0.09,0.09,0.09,000,0.09
2015-07-20,0.09,0.09,0.09,0.09,000,0.09
2015-07-21,0.09,0.09,0.09,0.09,000,0.09
2015-07-22,0.09,0.09,0.09,0.09,000,0.09
2015-07-23,0.09,0.09,0.09,0.09,000,0.09
2015-07-24,0.09,0.09,0.09,0.09,000,0.09
2015-07-27,0.09,0.09,0.09,0.09,000,0.09
2015-07-28,0.09,0.09,0.09,0.09,000,0.09
2015-07-29,0.09,0.09,0.09,0.09,000,0.09
2015-07-30,0.09,0.09,0.09,0.09,000,0.09
2015-07-31,0.09,0.09,0.09,0.09,000,0.09
2015-08-03,0.09,0.09,0.09,0.09,000,0.09
2015-08-04,0.09,0.09,0.09,0.09,000,0.09
2015-08-05,0.09,0.09,0.09,0.09,000,0.09
2015-08-06,0.09,0.09,0.09,0.09,000,0.09
2015-08-07,0.09,0.09,0.09,0.09,000,0.09
2015-08-10,0.09,0.09,0.09,0.09,000,0.09
2015-08-11,0.09,0.09,0.09,0.09,000,0.09
2015-08-12,0.09,0.09,0.09,0.09,000,0.09
2015-08-13,0.085,0.085,0.085,0.085,10000,0.085
2015-08-14,0.085,0.085,0.085,0.085,000,0.085
2015-08-17,0.085,0.085,0.085,0.085,000,0.085
2015-08-18,0.085,0.085,0.085,0.085,000,0.085
2015-08-19,0.085,0.085,0.085,0.085,000,0.085
2015-08-20,0.085,0.085,0.085,0.085,35000,0.085
2015-08-21,0.085,0.085,0.085,0.085,000,0.085
2015-08-24,0.085,0.085,0.085,0.085,000,0.085
2015-08-25,0.085,0.085,0.085,0.085,19300,0.085
2015-08-26,0.085,0.085,0.085,0.085,000,0.085
2015-08-27,0.085,0.085,0.085,0.085,000,0.085
2015-08-28,0.085,0.085,0.085,0.085,000,0.085
2015-08-31,0.085,0.085,0.085,0.085,000,0.085
2015-09-01,0.082,0.082,0.082,0.082,77700,0.082
2015-09-02,0.082,0.082,0.082,0.082,000,0.082
2015-09-03,0.082,0.082,0.082,0.082,000,0.082
2015-09-04,0.082,0.082,0.082,0.082,000,0.082
2015-09-07,0.082,0.082,0.082,0.082,000,0.082
2015-09-08,0.082,0.082,0.082,0.082,000,0.082
2015-09-09,0.082,0.082,0.082,0.082,000,0.082
2015-09-10,0.082,0.082,0.082,0.082,000,0.082
2015-09-11,0.082,0.082,0.082,0.082,000,0.082
2015-09-14,0.082,0.082,0.082,0.082,000,0.082
2015-09-15,0.082,0.082,0.082,0.082,000,0.082
2015-09-16,0.082,0.082,0.082,0.082,000,0.082
2015-09-17,0.082,0.082,0.082,0.082,000,0.082
2015-09-18,0.082,0.082,0.082,0.082,000,0.082
2015-09-21,0.082,0.082,0.082,0.082,000,0.082
2015-09-22,0.082,0.082,0.082,0.082,000,0.082
2015-09-23,0.082,0.082,0.082,0.082,000,0.082
2015-09-24,0.082,0.082,0.082,0.082,000,0.082
2015-09-25,0.082,0.082,0.082,0.082,000,0.082
2015-09-28,0.082,0.082,0.082,0.082,000,0.082
2015-09-29,0.082,0.082,0.082,0.082,000,0.082
2015-09-30,0.082,0.082,0.082,0.082,000,0.082
2015-10-01,0.082,0.082,0.082,0.082,000,0.082
2015-10-02,0.082,0.082,0.082,0.082,000,0.082
2015-10-05,0.082,0.082,0.082,0.082,000,0.082
2015-10-06,0.082,0.082,0.082,0.082,000,0.082
2015-10-07,0.082,0.082,0.082,0.082,000,0.082
2015-10-08,0.082,0.082,0.082,0.082,000,0.082
2015-10-09,0.081,0.081,0.081,0.081,305000,0.081
2015-10-12,0.081,0.081,0.081,0.081,000,0.081
2015-10-13,0.081,0.081,0.081,0.081,000,0.081
2015-10-14,0.081,0.081,0.081,0.081,000,0.081
2015-10-15,0.081,0.081,0.081,0.081,000,0.081
2015-10-16,0.081,0.081,0.081,0.081,000,0.081
2015-10-19,0.081,0.081,0.081,0.081,000,0.081
2015-10-20,0.081,0.081,0.081,0.081,000,0.081
2015-10-21,0.081,0.081,0.081,0.081,000,0.081
2015-10-22,0.081,0.081,0.081,0.081,000,0.081
2015-10-23,0.08,0.08,0.08,0.08,5000,0.08
2015-10-26,0.08,0.08,0.08,0.08,000,0.08
2015-10-27,0.08,0.08,0.08,0.08,000,0.08
2015-10-28,0.08,0.08,0.08,0.08,000,0.08
2015-10-29,0.08,0.08,0.08,0.08,000,0.08
2015-10-30,0.08,0.08,0.08,0.08,000,0.08
2015-11-02,0.08,0.08,0.08,0.08,000,0.08
2015-11-03,0.08,0.08,0.08,0.08,000,0.08
2015-11-04,0.08,0.08,0.08,0.08,000,0.08
2015-11-05,0.08,0.08,0.08,0.08,000,0.08
2015-11-06,0.08,0.08,0.08,0.08,000,0.08
2015-11-09,0.08,0.08,0.08,0.08,12500,0.08
2015-11-10,0.08,0.08,0.08,0.08,000,0.08
2015-11-11,0.08,0.08,0.08,0.08,000,0.08
2015-11-12,0.08,0.08,0.08,0.08,000,0.08
2015-11-13,0.08,0.08,0.08,0.08,000,0.08
2015-11-16,0.08,0.08,0.08,0.08,000,0.08
2015-11-17,0.08,0.08,0.08,0.08,000,0.08
2015-11-18,0.08,0.08,0.08,0.08,000,0.08
2015-11-19,0.08,0.08,0.08,0.08,000,0.08
2015-11-20,0.08,0.08,0.08,0.08,000,0.08
2015-11-23,0.08,0.08,0.08,0.08,000,0.08
2015-11-24,0.08,0.08,0.08,0.08,000,0.08
2015-11-25,0.08,0.08,0.08,0.08,000,0.08
2015-11-26,0.08,0.08,0.08,0.08,30000,0.08
2015-11-27,0.08,0.08,0.08,0.08,76400,0.08
2015-11-30,0.075,0.075,0.075,0.075,103100,0.075
2015-12-01,0.075,0.075,0.075,0.075,000,0.075
2015-12-02,0.075,0.075,0.075,0.075,000,0.075
2015-12-03,0.075,0.075,0.075,0.075,000,0.075
2015-12-04,0.075,0.075,0.075,0.075,000,0.075
2015-12-07,0.075,0.075,0.075,0.075,000,0.075
2015-12-08,0.075,0.075,0.075,0.075,000,0.075
2015-12-09,0.075,0.075,0.075,0.075,000,0.075
2015-12-10,0.075,0.075,0.075,0.075,000,0.075
2015-12-11,0.075,0.075,0.075,0.075,000,0.075
2015-12-14,0.075,0.075,0.075,0.075,000,0.075
2015-12-15,0.075,0.075,0.075,0.075,000,0.075
2015-12-16,0.075,0.075,0.075,0.075,000,0.075
2015-12-17,0.075,0.075,0.075,0.075,000,0.075
2015-12-18,0.075,0.075,0.075,0.075,000,0.075
2015-12-21,0.075,0.075,0.075,0.075,000,0.075
2015-12-22,0.075,0.075,0.075,0.075,000,0.075
2015-12-23,0.075,0.075,0.075,0.075,000,0.075
2015-12-24,0.075,0.075,0.075,0.075,000,0.075
2015-12-25,0.075,0.075,0.075,0.075,000,0.075
2015-12-28,0.075,0.075,0.075,0.075,000,0.075
2015-12-29,0.075,0.075,0.075,0.075,100000,0.075
2015-12-30,0.075,0.075,0.075,0.075,000,0.075
2015-12-31,0.075,0.075,0.075,0.075,000,0.075
2016-01-01,0.075,0.075,0.075,0.075,000,0.075
2016-01-04,0.075,0.075,0.075,0.075,000,0.075
2016-01-05,0.075,0.075,0.075,0.075,000,0.075
2016-01-06,0.075,0.075,0.075,0.075,000,0.075
2016-01-07,0.075,0.075,0.075,0.075,000,0.075
2016-01-08,0.075,0.075,0.075,0.075,000,0.075
2016-01-11,0.075,0.075,0.075,0.075,000,0.075
2016-01-12,0.075,0.075,0.075,0.075,000,0.075
2016-01-13,0.075,0.075,0.075,0.075,000,0.075
2016-01-14,0.075,0.075,0.075,0.075,000,0.075
2016-01-15,0.075,0.075,0.075,0.075,000,0.075
2016-01-18,0.075,0.075,0.075,0.075,000,0.075
2016-01-19,0.075,0.075,0.075,0.075,000,0.075
2016-01-20,0.075,0.075,0.075,0.075,000,0.075
2016-01-21,0.075,0.075,0.075,0.075,000,0.075
2016-01-22,0.075,0.075,0.075,0.075,000,0.075
2016-01-25,0.075,0.075,0.075,0.075,000,0.075
2016-01-26,0.075,0.075,0.075,0.075,000,0.075
2016-01-27,0.075,0.075,0.075,0.075,000,0.075
2016-01-28,0.075,0.075,0.075,0.075,000,0.075
2016-01-29,0.075,0.075,0.075,0.075,000,0.075
2016-02-01,0.075,0.075,0.075,0.075,000,0.075
2016-02-02,0.075,0.075,0.075,0.075,000,0.075
2016-02-03,0.075,0.075,0.075,0.075,000,0.075
2016-02-04,0.075,0.075,0.075,0.075,000,0.075
2016-02-05,0.075,0.075,0.075,0.075,82100,0.075
2016-02-08,0.075,0.075,0.075,0.075,000,0.075
2016-02-09,0.075,0.075,0.075,0.075,000,0.075
2016-02-10,0.075,0.075,0.075,0.075,000,0.075
2016-02-11,0.075,0.075,0.075,0.075,000,0.075
2016-02-12,0.075,0.075,0.075,0.075,000,0.075
2016-02-15,0.075,0.075,0.075,0.075,000,0.075
2016-02-16,0.075,0.075,0.075,0.075,000,0.075
2016-02-17,0.075,0.075,0.075,0.075,000,0.075
2016-02-18,0.075,0.075,0.075,0.075,000,0.075
2016-02-19,0.08,0.08,0.08,0.08,30000,0.08
2016-02-22,0.08,0.08,0.08,0.08,000,0.08
2016-02-23,0.08,0.08,0.08,0.08,000,0.08
2016-02-24,0.08,0.08,0.08,0.08,000,0.08
2016-02-25,0.08,0.08,0.08,0.08,000,0.08
2016-02-26,0.08,0.08,0.08,0.08,000,0.08
2016-02-29,0.08,0.08,0.08,0.08,000,0.08
2016-03-01,0.08,0.08,0.08,0.08,000,0.08
2016-03-02,0.08,0.08,0.08,0.08,000,0.08
2016-03-03,0.08,0.08,0.08,0.08,000,0.08
2016-03-04,0.075,0.075,0.071,0.071,328000,0.071
2016-03-07,0.071,0.071,0.071,0.071,000,0.071
2016-03-08,0.071,0.071,0.071,0.071,000,0.071
2016-03-09,0.071,0.071,0.071,0.071,000,0.071
2016-03-10,0.071,0.071,0.071,0.071,000,0.071
2016-03-11,0.071,0.071,0.071,0.071,000,0.071
2016-03-14,0.071,0.071,0.071,0.071,000,0.071
2016-03-15,0.071,0.071,0.071,0.071,000,0.071
2016-03-16,0.071,0.071,0.071,0.071,000,0.071
2016-03-17,0.071,0.071,0.071,0.071,000,0.071
2016-03-18,0.066,0.066,0.066,0.066,25000,0.066
2016-03-21,0.066,0.066,0.066,0.066,000,0.066
2016-03-22,0.066,0.066,0.066,0.066,000,0.066
2016-03-23,0.066,0.066,0.066,0.066,000,0.066
2016-03-24,0.06,0.06,0.06,0.06,27100,0.06
2016-03-25,0.06,0.06,0.06,0.06,000,0.06
2016-03-28,0.06,0.06,0.06,0.06,000,0.06
2016-03-29,0.06,0.06,0.06,0.06,000,0.06
2016-03-30,0.06,0.06,0.06,0.06,000,0.06
2016-03-31,0.06,0.06,0.06,0.06,000,0.06
2016-04-01,0.06,0.06,0.06,0.06,000,0.06
2016-04-04,0.066,0.066,0.052,0.052,37500,0.052
2016-04-05,0.052,0.052,0.052,0.052,000,0.052
2016-04-06,0.052,0.052,0.052,0.052,000,0.052
2016-04-07,0.052,0.052,0.052,0.052,000,0.052
2016-04-08,0.052,0.052,0.052,0.052,000,0.052
2016-04-11,0.052,0.052,0.052,0.052,000,0.052
2016-04-12,0.052,0.052,0.052,0.052,000,0.052
2016-04-13,0.052,0.052,0.05,0.05,401100,0.05
2016-04-14,0.05,0.05,0.05,0.05,000,0.05
2016-04-15,0.05,0.05,0.05,0.05,000,0.05


2016-04-18,0.05,0.05,0.05,0.05,6100,0.05
2016-04-19,0.05,0.05,0.05,0.05,000,0.05
2016-04-20,0.05,0.05,0.05,0.05,000,0.05
2016-04-21,0.05,0.05,0.05,0.05,000,0.05
2016-04-22,0.05,0.05,0.05,0.05,000,0.05


2016-04-25,0.05,0.05,0.05,0.05,000,0.05
2016-04-26,0.041,0.041,0.041,0.041,762000,0.041
2016-04-27,0.041,0.041,0.041,0.041,750000,0.041
2016-04-28,0.041,0.041,0.041,0.041,2400,0.041
2016-04-29,0.041,0.041,0.041,0.041,000,0.041


2016-05-02,0.041,0.041,0.041,0.041,000,0.041
2016-05-03,0.041,0.041,0.041,0.041,000,0.041
2016-05-04,0.041,0.041,0.041,0.041,000,0.041
2016-05-05,0.042,0.042,0.042,0.042,100000,0.042
2016-05-06,0.042,0.042,0.042,0.042,000,0.042


2016-05-09,0.042,0.042,0.042,0.042,000,0.042
2016-05-10,0.042,0.042,0.042,0.042,000,0.042
2016-05-11,0.042,0.042,0.041,0.041,522400,0.041
2016-05-12,0.04,0.04,0.04,0.04,28100,0.04
2016-05-13,0.04,0.04,0.04,0.04,000,0.04


2016-05-16,0.04,0.04,0.04,0.04,000,0.04
2016-05-17,0.04,0.04,0.04,0.04,000,0.04
2016-05-18,0.041,0.041,0.04,0.04,280400,0.04
2016-05-19,0.04,0.04,0.04,0.04,000,0.04
2016-05-20,0.04,0.04,0.04,0.04,000,0.04


2016-05-23,0.04,0.04,0.04,0.04,000,0.04
2016-05-24,0.04,0.04,0.04,0.04,000,0.04
2016-05-25,0.03,0.03,0.03,0.03,37200,0.03
2016-05-26,0.03,0.03,0.03,0.03,000,0.03
2016-05-27,0.04,0.04,0.04,0.04,392500,0.04


2016-05-30,0.04,0.04,0.04,0.04,120000,0.04
2016-05-31,0.04,0.04,0.04,0.04,000,0.04
2016-06-01,0.04,0.04,0.04,0.04,000,0.04
2016-06-02,0.04,0.04,0.04,0.04,000,0.04
2016-06-03,0.041,0.041,0.041,0.041,40000,0.041


2016-06-06,0.041,0.041,0.041,0.041,000,0.041
2016-06-07,0.041,0.041,0.041,0.041,000,0.041
2016-06-08,0.041,0.041,0.041,0.041,000,0.041
2016-06-09,0.041,0.041,0.041,0.041,000,0.041
2016-06-10,0.041,0.041,0.041,0.041,000,0.041


2016-06-13,0.041,0.041,0.041,0.041,000,0.041
2016-06-14,0.041,0.041,0.041,0.041,000,0.041
