Date,Open,High,Low,Close,Volume,Adj Close
2015-03-02,1.41,1.425,1.395,1.40,270500,1.40
2015-03-03,1.40,1.42,1.40,1.415,281200,1.415
2015-03-04,1.42,1.42,1.40,1.40,192600,1.40
2015-03-05,1.40,1.41,1.395,1.40,117000,1.40
2015-03-06,1.40,1.41,1.375,1.38,175300,1.38
2015-03-09,1.375,1.375,1.35,1.355,270000,1.355
2015-03-10,1.35,1.40,1.35,1.40,212900,1.40
2015-03-11,1.37,1.41,1.365,1.40,313000,1.40
2015-03-12,1.395,1.395,1.38,1.395,241200,1.395
2015-03-13,1.39,1.395,1.355,1.38,176800,1.38
2015-03-16,1.385,1.395,1.38,1.39,111300,1.39
2015-03-17,1.395,1.40,1.34,1.38,291400,1.38
2015-03-18,1.38,1.38,1.36,1.365,152900,1.365
2015-03-19,1.37,1.38,1.345,1.36,336000,1.36
2015-03-20,1.36,1.38,1.36,1.375,419800,1.375
2015-03-23,1.375,1.39,1.355,1.39,221200,1.39
2015-03-25,1.37,1.39,1.36,1.385,417800,1.385
2015-03-26,1.33,1.33,1.30,1.31,387300,1.31
2015-03-27,1.30,1.30,1.28,1.28,639000,1.28
2015-03-30,1.285,1.29,1.27,1.28,357200,1.28
2015-03-31,1.28,1.28,1.245,1.245,622800,1.245
2015-04-01,1.24,1.26,1.22,1.26,479100,1.26
2015-04-02,1.245,1.26,1.245,1.255,356700,1.255
2015-04-07,1.25,1.26,1.245,1.26,512600,1.26
2015-04-08,1.26,1.31,1.26,1.30,588100,1.30
2015-04-09,1.305,1.335,1.295,1.32,381600,1.32
2015-04-10,1.32,1.325,1.30,1.315,141000,1.315
2015-04-14,1.295,1.305,1.285,1.30,312700,1.30
2015-04-15,1.305,1.305,1.285,1.305,246800,1.305
2015-04-16,1.305,1.305,1.28,1.295,402400,1.295
2015-04-17,1.295,1.295,1.285,1.29,149900,1.29
2015-04-20,1.285,1.29,1.27,1.27,332700,1.27
2015-04-21,1.275,1.29,1.265,1.27,402900,1.27
2015-04-22,1.27,1.28,1.265,1.27,168100,1.27
2015-04-23,1.27,1.29,1.265,1.285,163100,1.285
2015-04-24,1.275,1.275,1.26,1.27,282000,1.27
2015-04-27,1.26,1.28,1.255,1.27,154700,1.27
2015-04-28,1.275,1.28,1.265,1.28,265400,1.28
2015-04-29,1.28,1.285,1.265,1.285,272800,1.285
2015-04-30,1.28,1.28,1.27,1.27,356600,1.27
2015-05-01,1.275,1.285,1.265,1.285,176900,1.285
2015-05-04,1.285,1.29,1.275,1.29,242000,1.29
2015-05-05,1.28,1.285,1.27,1.27,165300,1.27
2015-05-06,1.28,1.28,1.265,1.27,163600,1.27
2015-05-07,1.27,1.27,1.26,1.27,275000,1.27
2015-05-08,1.27,1.27,1.26,1.27,66600,1.27
2015-05-11,1.27,1.27,1.265,1.27,150800,1.27
2015-05-12,1.265,1.265,1.25,1.255,239700,1.255
2015-05-13,1.25,1.265,1.24,1.26,276600,1.26
2015-05-14,1.255,1.27,1.255,1.265,135100,1.265
2015-05-15,1.265,1.265,1.25,1.25,469800,1.25
2015-05-18,1.25,1.25,1.235,1.25,253200,1.25
2015-05-19,1.25,1.26,1.24,1.26,181100,1.26
2015-05-20,1.26,1.26,1.235,1.24,163100,1.24
2015-05-21,1.24,1.255,1.24,1.255,250500,1.255
2015-05-22,1.25,1.25,1.235,1.24,203100,1.24
2015-05-25,1.24,1.245,1.23,1.235,207700,1.235
2015-05-26,1.24,1.245,1.235,1.24,304200,1.24
2015-05-27,1.235,1.24,1.23,1.24,218500,1.24
2015-05-28,1.23,1.24,1.225,1.225,260700,1.225
2015-05-29,1.23,1.24,1.22,1.23,251200,1.23
2015-06-01,1.225,1.23,1.20,1.205,308900,1.205
2015-06-02,1.21,1.21,1.15,1.19,263400,1.19
2015-06-03,1.20,1.20,1.175,1.195,436800,1.195
2015-06-04,1.19,1.19,1.16,1.165,667300,1.165
2015-06-05,1.16,1.18,1.16,1.18,451000,1.18
2015-06-09,1.17,1.18,1.14,1.145,506100,1.145
2015-06-10,1.145,1.165,1.145,1.16,410000,1.16
2015-06-11,1.16,1.16,1.075,1.11,1166800,1.11
2015-06-12,1.11,1.165,1.075,1.15,1900500,1.15
2015-06-15,1.15,1.15,1.13,1.145,237600,1.145
2015-06-16,1.145,1.17,1.14,1.16,507900,1.16
2015-06-17,1.16,1.165,1.145,1.15,734900,1.15
2015-06-18,1.16,1.165,1.15,1.16,400100,1.16
2015-06-19,1.16,1.16,1.15,1.15,270700,1.15
2015-06-22,1.15,1.155,1.145,1.15,358700,1.15
2015-06-23,1.15,1.16,1.15,1.16,228400,1.16
2015-06-24,1.16,1.175,1.15,1.165,478700,1.165
2015-06-25,1.17,1.205,1.17,1.205,611800,1.205
2015-06-26,1.215,1.245,1.215,1.24,538700,1.24
2015-06-29,1.235,1.24,1.22,1.22,387800,1.22
2015-06-30,1.22,1.23,1.215,1.23,513000,1.23
2015-07-01,1.23,1.26,1.23,1.26,283300,1.26
2015-07-02,1.27,1.31,1.265,1.295,639300,1.295
2015-07-03,1.30,1.30,1.275,1.29,376300,1.29
2015-07-06,1.28,1.295,1.275,1.28,200700,1.28
2015-07-07,1.295,1.30,1.28,1.285,158700,1.285
2015-07-08,1.295,1.295,1.285,1.285,227100,1.285
2015-07-09,1.28,1.295,1.27,1.295,412700,1.295
2015-07-10,1.29,1.30,1.29,1.295,49500,1.295
2015-07-13,1.295,1.295,1.285,1.29,121300,1.29
2015-07-14,1.295,1.305,1.29,1.30,231300,1.30
2015-07-15,1.31,1.33,1.31,1.33,251300,1.33
2015-07-16,1.33,1.33,1.30,1.32,173100,1.32
2015-07-17,1.32,1.345,1.32,1.345,241900,1.345
2015-07-20,1.34,1.34,1.325,1.34,97600,1.34
2015-07-21,1.34,1.35,1.34,1.35,308100,1.35
2015-07-22,1.355,1.38,1.34,1.34,790500,1.34
2015-07-23,1.345,1.35,1.335,1.34,331700,1.34
2015-07-24,1.34,1.35,1.325,1.35,241300,1.35
2015-07-27,1.35,1.37,1.35,1.365,221900,1.365
2015-07-28,1.365,1.365,1.34,1.36,159000,1.36
2015-07-29,1.36,1.36,1.34,1.35,78000,1.35
2015-07-30,1.36,1.365,1.35,1.36,93500,1.36
2015-07-31,1.36,1.375,1.36,1.375,207300,1.375
2015-08-03,1.38,1.385,1.365,1.385,193900,1.385
2015-08-04,1.38,1.38,1.36,1.365,99600,1.365
2015-08-05,1.365,1.37,1.36,1.36,218600,1.36
2015-08-06,1.355,1.37,1.34,1.34,285800,1.34
2015-08-07,1.34,1.37,1.33,1.355,176100,1.355
2015-08-10,1.355,1.37,1.34,1.37,183800,1.37
2015-08-11,1.365,1.37,1.355,1.355,111500,1.355
2015-08-12,1.36,1.36,1.34,1.34,199500,1.34
2015-08-13,1.35,1.35,1.32,1.325,120300,1.325
2015-08-14,1.33,1.335,1.32,1.32,303700,1.32
2015-08-17,1.32,1.335,1.32,1.32,136200,1.32
2015-08-18,1.325,1.35,1.32,1.32,204900,1.32
2015-08-19,1.325,1.355,1.32,1.34,151000,1.34
2015-08-20,1.34,1.355,1.33,1.35,171300,1.35
2015-08-21,1.33,1.36,1.325,1.36,359700,1.36
2015-08-24,1.35,1.35,1.305,1.34,640900,1.34
2015-08-25,1.31,1.35,1.31,1.35,766800,1.35
2015-08-26,1.34,1.355,1.325,1.35,641900,1.35
2015-08-27,1.35,1.36,1.345,1.36,194900,1.36
2015-08-28,1.38,1.38,1.355,1.375,224500,1.375
2015-08-31,1.37,1.37,1.35,1.36,189600,1.36
2015-09-01,1.355,1.37,1.355,1.37,168100,1.37
2015-09-02,1.365,1.37,1.35,1.37,549800,1.37
2015-09-03,1.37,1.39,1.36,1.38,316200,1.38
2015-09-04,1.39,1.395,1.375,1.395,255100,1.395
2015-09-07,1.40,1.42,1.39,1.42,544300,1.42
2015-09-08,1.415,1.425,1.395,1.395,197700,1.395
2015-09-09,1.41,1.415,1.40,1.40,265400,1.40
2015-09-10,1.40,1.42,1.39,1.40,271300,1.40
2015-09-11,1.40,1.415,1.39,1.40,129800,1.40
2015-09-14,1.405,1.41,1.39,1.41,209200,1.41
2015-09-15,1.41,1.415,1.405,1.415,155500,1.415
2015-09-16,1.415,1.42,1.40,1.40,251200,1.40
2015-09-17,1.41,1.42,1.405,1.415,225300,1.415
2015-09-18,1.42,1.43,1.415,1.43,395200,1.43
2015-09-21,1.425,1.43,1.42,1.425,114500,1.425
2015-09-22,1.425,1.435,1.42,1.43,67700,1.43
2015-09-23,1.43,1.44,1.425,1.435,174200,1.435
2015-09-24,1.435,1.44,1.425,1.44,193800,1.44
2015-09-25,1.425,1.44,1.425,1.44,122000,1.44
2015-09-28,1.44,1.44,1.43,1.44,123100,1.44
2015-09-29,1.44,1.44,1.43,1.43,248700,1.43
2015-09-30,1.44,1.44,1.42,1.44,218700,1.44
2015-10-01,1.44,1.44,1.43,1.44,189600,1.44
2015-10-02,1.43,1.44,1.43,1.44,107100,1.44
2015-10-05,1.44,1.44,1.43,1.43,159200,1.43
2015-10-06,1.435,1.44,1.43,1.43,188600,1.43
2015-10-07,1.44,1.44,1.43,1.43,321500,1.43
2015-10-08,1.44,1.44,1.43,1.44,484800,1.44
2015-10-09,1.395,1.395,1.365,1.375,299500,1.375
2015-10-12,1.375,1.38,1.365,1.38,137700,1.38
2015-10-13,1.38,1.38,1.365,1.365,89400,1.365
2015-10-14,1.37,1.375,1.365,1.375,144600,1.375
2015-10-15,1.375,1.39,1.37,1.37,244500,1.37
2015-10-16,1.375,1.395,1.375,1.395,343700,1.395
2015-10-19,1.395,1.40,1.385,1.395,159800,1.395
2015-10-20,1.39,1.39,1.375,1.38,189200,1.38
2015-10-21,1.375,1.38,1.37,1.38,122700,1.38
2015-10-22,1.38,1.39,1.38,1.39,164700,1.39
2015-10-23,1.385,1.39,1.375,1.385,75100,1.385
2015-10-26,1.38,1.40,1.37,1.40,186500,1.40
2015-10-27,1.395,1.40,1.37,1.385,227200,1.385
2015-10-28,1.385,1.39,1.375,1.385,76000,1.385
2015-11-02,1.355,1.355,1.34,1.355,969500,1.355
2015-11-03,1.35,1.355,1.345,1.35,243200,1.35
2015-11-04,1.355,1.355,1.345,1.35,315000,1.35
2015-11-05,1.345,1.345,1.31,1.325,428200,1.325
2015-11-06,1.325,1.335,1.32,1.325,417500,1.325
2015-11-09,1.32,1.33,1.32,1.32,194800,1.32
2015-11-10,1.32,1.325,1.315,1.32,172500,1.32
2015-11-11,1.325,1.335,1.32,1.332,234000,1.332
2015-11-12,1.325,1.33,1.325,1.327,123400,1.327
2015-11-13,1.325,1.335,1.32,1.32,211300,1.32
2015-11-16,1.33,1.33,1.32,1.32,137000,1.32
2015-11-17,1.33,1.34,1.325,1.34,113900,1.34
2015-11-18,1.335,1.345,1.33,1.345,121800,1.345
2015-11-19,1.345,1.35,1.34,1.345,205600,1.345
2015-11-20,1.345,1.35,1.34,1.345,206400,1.345
2015-11-23,1.34,1.345,1.335,1.34,145500,1.34
2015-11-24,1.33,1.345,1.325,1.33,229500,1.33
2015-11-25,1.34,1.34,1.32,1.33,174800,1.33
2015-11-26,1.335,1.335,1.31,1.33,273000,1.33
2015-11-27,1.335,1.34,1.32,1.34,214800,1.34
2015-11-30,1.34,1.34,1.315,1.33,204700,1.33
2015-12-01,1.325,1.34,1.32,1.335,346200,1.335
2015-12-02,1.34,1.34,1.325,1.34,226300,1.34
2015-12-03,1.335,1.355,1.335,1.355,556500,1.355
2015-12-04,1.35,1.37,1.35,1.355,829900,1.355
2015-12-07,1.355,1.37,1.35,1.37,267300,1.37
2015-12-08,1.37,1.375,1.36,1.375,427600,1.375
2015-12-09,1.37,1.405,1.365,1.395,409500,1.395
2015-12-10,1.39,1.40,1.375,1.38,293500,1.38
2015-12-11,1.39,1.40,1.38,1.40,613900,1.40
2015-12-14,1.39,1.39,1.365,1.385,347300,1.385
2015-12-15,1.37,1.395,1.37,1.385,278100,1.385
2015-12-16,1.39,1.40,1.38,1.40,379200,1.40
2015-12-17,1.40,1.40,1.39,1.40,428100,1.40
2015-12-18,1.40,1.40,1.395,1.395,61500,1.395
2015-12-21,1.40,1.40,1.39,1.40,321700,1.40
2015-12-22,1.395,1.40,1.39,1.39,187900,1.39
2015-12-23,1.40,1.405,1.39,1.405,265200,1.405
2015-12-24,1.405,1.415,1.395,1.395,177300,1.395
2015-12-29,1.395,1.425,1.395,1.42,194000,1.42
2015-12-30,1.42,1.43,1.40,1.41,26600,1.41
2015-12-31,1.395,1.40,1.395,1.395,96200,1.395
2016-01-04,1.395,1.41,1.39,1.395,171600,1.395
2016-01-05,1.40,1.435,1.40,1.43,225600,1.43
2016-01-06,1.435,1.44,1.43,1.44,202000,1.44
2016-01-07,1.43,1.445,1.43,1.44,166200,1.44
2016-01-08,1.445,1.445,1.42,1.42,177400,1.42
2016-01-11,1.42,1.435,1.42,1.43,141000,1.43
2016-01-12,1.42,1.435,1.415,1.415,83900,1.415
2016-01-13,1.415,1.44,1.41,1.44,114300,1.44
2016-01-14,1.43,1.44,1.425,1.435,342600,1.435
2016-01-15,1.44,1.445,1.43,1.445,313800,1.445
2016-01-18,1.43,1.45,1.42,1.45,479400,1.45
2016-01-19,1.45,1.45,1.435,1.45,213200,1.45
2016-01-20,1.435,1.45,1.435,1.445,218800,1.445
2016-01-21,1.44,1.47,1.435,1.465,583000,1.465
2016-01-22,1.47,1.475,1.465,1.465,378000,1.465
2016-01-25,1.465,1.485,1.465,1.48,195100,1.48
2016-01-27,1.48,1.485,1.475,1.48,72000,1.48
2016-01-28,1.47,1.485,1.465,1.48,241900,1.48
2016-01-29,1.48,1.485,1.46,1.46,357200,1.46
2016-02-01,1.48,1.485,1.47,1.48,261800,1.48
2016-02-02,1.48,1.485,1.46,1.46,346700,1.46
2016-02-03,1.465,1.48,1.46,1.46,158300,1.46
2016-02-04,1.465,1.48,1.46,1.47,384000,1.47
2016-02-05,1.475,1.48,1.47,1.48,152000,1.48
2016-02-08,1.48,1.49,1.475,1.49,287200,1.49
2016-02-09,1.485,1.49,1.47,1.475,349600,1.475
2016-02-10,1.475,1.48,1.455,1.47,349300,1.47
2016-02-11,1.47,1.48,1.47,1.47,128500,1.47
2016-02-12,1.47,1.485,1.42,1.485,455700,1.485
2016-02-15,1.48,1.49,1.455,1.49,180200,1.49
2016-02-16,1.49,1.49,1.47,1.475,124300,1.475
2016-02-17,1.49,1.49,1.48,1.49,135000,1.49
2016-02-18,1.485,1.49,1.48,1.48,282200,1.48
2016-02-19,1.48,1.49,1.48,1.485,203800,1.485
2016-02-22,1.48,1.495,1.475,1.495,211400,1.495
2016-02-23,1.495,1.51,1.495,1.505,237900,1.505
2016-02-24,1.49,1.505,1.49,1.49,229000,1.49
2016-02-25,1.50,1.53,1.49,1.53,203300,1.53
2016-02-26,1.55,1.575,1.50,1.51,377200,1.51
2016-02-29,1.53,1.53,1.485,1.485,362400,1.485
2016-03-01,1.49,1.51,1.49,1.49,251700,1.49
2016-03-02,1.50,1.51,1.495,1.50,83200,1.50
2016-03-03,1.51,1.52,1.49,1.49,169200,1.49
2016-03-04,1.50,1.51,1.49,1.51,269900,1.51
2016-03-07,1.51,1.525,1.50,1.525,138300,1.525
2016-03-08,1.51,1.53,1.505,1.51,166800,1.51
2016-03-09,1.505,1.51,1.505,1.51,176200,1.51
2016-03-10,1.51,1.52,1.50,1.50,245400,1.50
2016-03-11,1.505,1.52,1.50,1.52,117600,1.52
2016-03-14,1.525,1.53,1.505,1.525,224700,1.525
2016-03-15,1.515,1.515,1.48,1.485,556400,1.485
2016-03-16,1.49,1.505,1.49,1.50,54300,1.50
2016-03-17,1.50,1.50,1.48,1.50,162100,1.50
2016-03-18,1.495,1.51,1.49,1.51,593300,1.51
2016-03-21,1.505,1.51,1.495,1.495,203400,1.495
2016-03-22,1.51,1.54,1.495,1.54,451000,1.54
2016-03-23,1.535,1.54,1.51,1.53,308300,1.53
2016-03-24,1.53,1.54,1.53,1.54,519000,1.54
2016-03-29,1.52,1.52,1.45,1.48,354400,1.48
2016-03-30,1.48,1.48,1.455,1.46,411800,1.46
2016-03-31,1.46,1.46,1.45,1.45,189200,1.45
2016-04-01,1.455,1.46,1.43,1.445,380700,1.445
2016-04-04,1.43,1.445,1.40,1.405,365200,1.405
2016-04-05,1.41,1.43,1.405,1.43,241500,1.43
2016-04-06,1.425,1.45,1.425,1.445,177500,1.445
2016-04-07,1.445,1.445,1.43,1.43,85300,1.43
2016-04-08,1.43,1.43,1.41,1.41,202700,1.41
2016-04-11,1.41,1.44,1.40,1.44,266600,1.44
















