Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.002,0.002,0.002,0.002,000,0.002
2015-01-02,0.002,0.002,0.002,0.002,000,0.002
2015-01-05,0.002,0.002,0.002,0.002,000,0.002
2015-01-06,0.002,0.002,0.002,0.002,1177600,0.002
2015-01-07,0.002,0.002,0.002,0.002,000,0.002
2015-01-08,0.002,0.002,0.002,0.002,000,0.002
2015-01-09,0.002,0.002,0.002,0.002,000,0.002
2015-01-12,0.002,0.002,0.002,0.002,000,0.002
2015-01-13,0.002,0.002,0.002,0.002,000,0.002
2015-01-14,0.002,0.002,0.002,0.002,000,0.002
2015-01-15,0.002,0.002,0.002,0.002,000,0.002
2015-01-16,0.002,0.002,0.002,0.002,000,0.002
2015-01-19,0.002,0.002,0.002,0.002,000,0.002
2015-01-20,0.002,0.002,0.002,0.002,000,0.002
2015-01-21,0.002,0.002,0.002,0.002,000,0.002
2015-01-22,0.002,0.002,0.002,0.002,000,0.002
2015-01-23,0.002,0.002,0.002,0.002,000,0.002
2015-01-26,0.002,0.002,0.002,0.002,000,0.002
2015-01-27,0.002,0.002,0.002,0.002,000,0.002
2015-01-28,0.002,0.002,0.002,0.002,000,0.002
2015-01-29,0.002,0.002,0.002,0.002,000,0.002
2015-01-30,0.002,0.002,0.002,0.002,000,0.002
2015-02-02,0.002,0.002,0.002,0.002,000,0.002
2015-02-03,0.002,0.002,0.002,0.002,000,0.002
2015-02-04,0.002,0.002,0.002,0.002,000,0.002
2015-02-05,0.002,0.002,0.002,0.002,000,0.002
2015-02-06,0.002,0.002,0.002,0.002,000,0.002
2015-02-09,0.002,0.002,0.002,0.002,000,0.002
2015-02-10,0.002,0.002,0.002,0.002,000,0.002
2015-02-11,0.002,0.002,0.002,0.002,000,0.002
2015-02-12,0.002,0.002,0.002,0.002,000,0.002
2015-02-13,0.002,0.002,0.002,0.002,000,0.002
2015-02-16,0.002,0.002,0.002,0.002,000,0.002
2015-02-17,0.002,0.002,0.002,0.002,000,0.002
2015-02-18,0.002,0.002,0.002,0.002,000,0.002
2015-02-19,0.002,0.002,0.002,0.002,000,0.002
2015-02-20,0.002,0.002,0.002,0.002,738200,0.002
2015-02-23,0.002,0.002,0.002,0.002,000,0.002
2015-02-24,0.002,0.002,0.002,0.002,500000,0.002
2015-02-25,0.002,0.002,0.002,0.002,000,0.002
2015-02-26,0.002,0.002,0.002,0.002,000,0.002
2015-02-27,0.002,0.002,0.002,0.002,000,0.002
2015-03-02,0.002,0.002,0.002,0.002,000,0.002
2015-03-03,0.002,0.002,0.002,0.002,000,0.002
2015-03-04,0.002,0.002,0.002,0.002,000,0.002
2015-03-05,0.002,0.002,0.002,0.002,000,0.002
2015-03-06,0.002,0.002,0.002,0.002,14000,0.002
2015-03-09,0.002,0.002,0.002,0.002,200000,0.002
2015-03-10,0.002,0.002,0.002,0.002,000,0.002
2015-03-11,0.002,0.002,0.002,0.002,000,0.002
2015-03-12,0.002,0.002,0.002,0.002,000,0.002
2015-03-13,0.002,0.002,0.002,0.002,000,0.002
2015-03-16,0.002,0.002,0.002,0.002,000,0.002
2015-03-17,0.002,0.002,0.002,0.002,000,0.002
2015-03-18,0.002,0.002,0.002,0.002,1000000,0.002
2015-03-19,0.002,0.002,0.002,0.002,000,0.002
2015-03-20,0.002,0.002,0.002,0.002,000,0.002
2015-03-23,0.002,0.002,0.002,0.002,000,0.002
2015-03-24,0.002,0.002,0.002,0.002,000,0.002
2015-03-25,0.002,0.002,0.002,0.002,700,0.002
2015-03-26,0.002,0.002,0.002,0.002,000,0.002
2015-03-27,0.002,0.002,0.002,0.002,000,0.002
2015-03-30,0.002,0.002,0.002,0.002,000,0.002
2015-03-31,0.002,0.002,0.002,0.002,000,0.002
2015-04-01,0.002,0.002,0.002,0.002,000,0.002
2015-04-02,0.002,0.002,0.002,0.002,000,0.002
2015-04-03,0.002,0.002,0.002,0.002,000,0.002
2015-04-06,0.002,0.002,0.002,0.002,000,0.002
2015-04-07,0.002,0.002,0.002,0.002,799900,0.002
2015-04-08,0.002,0.002,0.002,0.002,000,0.002
