Date,Open,High,Low,Close,Volume,Adj Close
2015-08-21,0.195,0.195,0.17,0.175,574200,0.175
2015-08-24,0.175,0.175,0.145,0.145,799700,0.145
2015-08-25,0.155,0.17,0.15,0.17,428400,0.17
2015-08-26,0.17,0.18,0.165,0.17,249500,0.17
2015-08-27,0.175,0.185,0.17,0.185,62800,0.185
2015-08-28,0.185,0.19,0.18,0.18,168000,0.18
2015-08-31,0.19,0.195,0.18,0.19,426400,0.19
2015-09-01,0.20,0.21,0.195,0.21,386100,0.21
2015-09-02,0.20,0.20,0.19,0.195,175800,0.195
2015-09-03,0.195,0.195,0.19,0.19,55000,0.19
2015-09-04,0.195,0.195,0.18,0.18,104600,0.18
2015-09-07,0.18,0.205,0.18,0.20,154000,0.20
2015-09-08,0.205,0.205,0.19,0.195,50600,0.195
2015-09-09,0.20,0.215,0.195,0.215,43800,0.215
2015-09-10,0.215,0.215,0.21,0.215,47200,0.215
2015-09-11,0.21,0.21,0.20,0.20,165300,0.20
2015-09-14,0.20,0.225,0.195,0.20,139700,0.20
2015-09-15,0.20,0.20,0.20,0.20,2400,0.20
2015-09-16,0.20,0.21,0.195,0.21,374600,0.21
2015-09-17,0.20,0.21,0.20,0.21,72200,0.21
2015-09-18,0.21,0.235,0.21,0.235,289600,0.235
2015-09-21,0.235,0.235,0.205,0.23,208800,0.23
2015-09-22,0.23,0.235,0.22,0.225,156600,0.225
2015-09-23,0.225,0.23,0.225,0.23,18600,0.23
2015-09-24,0.23,0.23,0.22,0.22,91200,0.22
2015-09-25,0.23,0.23,0.22,0.22,137800,0.22
2015-09-28,0.225,0.235,0.225,0.23,341100,0.23
2015-09-29,0.24,0.24,0.225,0.225,193800,0.225
2015-09-30,0.23,0.24,0.23,0.23,68300,0.23
2015-10-01,0.235,0.235,0.235,0.235,41300,0.235
2015-10-02,0.245,0.28,0.245,0.28,617500,0.28
2015-10-05,0.28,0.29,0.265,0.265,260000,0.265
2015-10-06,0.27,0.285,0.265,0.27,279700,0.27
2015-10-07,0.275,0.275,0.265,0.265,147300,0.265
2015-10-08,0.27,0.28,0.265,0.28,396500,0.28
2015-10-09,0.275,0.28,0.27,0.275,102400,0.275
2015-10-12,0.28,0.285,0.265,0.27,265700,0.27
2015-10-13,0.265,0.27,0.26,0.26,184300,0.26
2015-10-14,0.265,0.265,0.255,0.255,101800,0.255
2015-10-15,0.265,0.28,0.265,0.28,186800,0.28
2015-10-16,0.28,0.31,0.28,0.31,594000,0.31
2015-10-19,0.31,0.31,0.295,0.295,381000,0.295
2015-10-20,0.295,0.295,0.29,0.29,37400,0.29
2015-10-21,0.29,0.295,0.29,0.295,22500,0.295
2015-10-22,0.29,0.29,0.285,0.285,58200,0.285
2015-10-23,0.285,0.285,0.275,0.285,186200,0.285
2015-10-26,0.295,0.32,0.295,0.31,677900,0.31
2015-10-27,0.31,0.31,0.29,0.29,121900,0.29
2015-10-28,0.295,0.30,0.285,0.285,328100,0.285
2015-10-29,0.29,0.29,0.28,0.285,148800,0.285
2015-10-30,0.285,0.285,0.26,0.26,334900,0.26
2015-11-02,0.265,0.27,0.26,0.26,187100,0.26
2015-11-03,0.27,0.27,0.26,0.26,305600,0.26
2015-11-04,0.275,0.275,0.27,0.27,162900,0.27
2015-11-05,0.275,0.28,0.27,0.28,500800,0.28
2015-11-06,0.28,0.285,0.28,0.285,119600,0.285
2015-11-09,0.29,0.30,0.29,0.295,495400,0.295
2015-11-10,0.29,0.295,0.285,0.285,125200,0.285
2015-11-11,0.285,0.285,0.28,0.28,177600,0.28
2015-11-12,0.285,0.285,0.28,0.28,188500,0.28
2015-11-13,0.275,0.28,0.27,0.27,139500,0.27
2015-11-16,0.275,0.275,0.265,0.265,168300,0.265
2015-11-17,0.26,0.26,0.23,0.26,453600,0.26
2015-11-18,0.26,0.26,0.245,0.245,96300,0.245
2015-11-19,0.245,0.245,0.24,0.24,131100,0.24
2015-11-20,0.24,0.245,0.235,0.24,117500,0.24
2015-11-23,0.24,0.26,0.24,0.255,164000,0.255
2015-11-24,0.255,0.255,0.23,0.23,216100,0.23
2015-11-25,0.24,0.25,0.235,0.25,58000,0.25
2015-11-26,0.235,0.24,0.235,0.24,9500,0.24
2015-11-27,0.24,0.24,0.24,0.24,41100,0.24
2015-11-30,0.24,0.24,0.23,0.24,191200,0.24
2015-12-01,0.23,0.24,0.225,0.24,141900,0.24
2015-12-02,0.23,0.23,0.21,0.22,194500,0.22
2015-12-03,0.215,0.22,0.215,0.22,93500,0.22
2015-12-04,0.22,0.22,0.22,0.22,116400,0.22
2015-12-07,0.22,0.22,0.185,0.20,254600,0.20
2015-12-08,0.205,0.205,0.20,0.20,44400,0.20
2015-12-09,0.19,0.195,0.185,0.185,297300,0.185
2015-12-10,0.185,0.185,0.175,0.18,303800,0.18
2015-12-11,0.185,0.185,0.185,0.185,10000,0.185
2015-12-14,0.19,0.20,0.19,0.19,139500,0.19
2015-12-15,0.195,0.205,0.195,0.20,52700,0.20
2015-12-16,0.205,0.21,0.20,0.20,203800,0.20
2015-12-17,0.20,0.205,0.20,0.20,116800,0.20
2015-12-18,0.205,0.21,0.205,0.205,45500,0.205
2015-12-21,0.21,0.22,0.20,0.205,317900,0.205
2015-12-22,0.22,0.22,0.22,0.22,211300,0.22
2015-12-23,0.22,0.22,0.22,0.22,50000,0.22
2015-12-24,0.21,0.21,0.205,0.205,124300,0.205
2015-12-25,0.205,0.205,0.205,0.205,000,0.205
2015-12-28,0.205,0.205,0.205,0.205,000,0.205
2015-12-29,0.20,0.20,0.19,0.19,205200,0.19
2015-12-30,0.185,0.205,0.185,0.205,86400,0.205
2015-12-31,0.21,0.21,0.20,0.20,52000,0.20
2016-01-01,0.20,0.20,0.20,0.20,000,0.20
2016-01-04,0.20,0.22,0.19,0.19,254600,0.19
2016-01-05,0.195,0.195,0.185,0.195,100800,0.195
2016-01-06,0.195,0.195,0.195,0.195,3000,0.195
2016-01-07,0.19,0.19,0.18,0.185,168800,0.185
2016-01-08,0.19,0.19,0.175,0.175,184500,0.175
2016-01-11,0.18,0.18,0.175,0.175,57400,0.175
2016-01-12,0.18,0.185,0.18,0.185,30600,0.185
2016-01-13,0.18,0.19,0.175,0.175,112300,0.175
2016-01-14,0.175,0.175,0.17,0.17,94000,0.17
2016-01-15,0.16,0.16,0.115,0.16,904700,0.16
2016-01-18,0.15,0.15,0.14,0.145,270200,0.145
2016-01-19,0.14,0.145,0.14,0.145,156100,0.145
2016-01-20,0.145,0.145,0.135,0.135,107600,0.135
2016-01-21,0.135,0.135,0.115,0.115,214400,0.115
2016-01-22,0.115,0.115,0.11,0.115,146000,0.115
2016-01-25,0.11,0.115,0.09,0.092,502400,0.092
2016-01-26,0.092,0.092,0.092,0.092,000,0.092
2016-01-27,0.10,0.11,0.098,0.11,388600,0.11
2016-01-28,0.115,0.135,0.115,0.135,306900,0.135
2016-01-29,0.14,0.145,0.14,0.14,121700,0.14
2016-02-01,0.145,0.145,0.145,0.145,87200,0.145
2016-02-02,0.145,0.145,0.145,0.145,15000,0.145
2016-02-03,0.15,0.16,0.145,0.155,487700,0.155
2016-02-04,0.155,0.155,0.155,0.155,19000,0.155
2016-02-05,0.15,0.16,0.15,0.16,65000,0.16
2016-02-08,0.15,0.155,0.13,0.155,108500,0.155
2016-02-09,0.155,0.155,0.155,0.155,000,0.155
2016-02-10,0.135,0.15,0.135,0.15,35000,0.15
2016-02-11,0.135,0.135,0.135,0.135,100400,0.135
2016-02-12,0.135,0.135,0.13,0.13,184300,0.13
2016-02-15,0.14,0.15,0.135,0.135,96600,0.135
2016-02-16,0.145,0.15,0.135,0.145,391000,0.145
2016-02-17,0.145,0.145,0.145,0.145,37000,0.145
2016-02-18,0.14,0.14,0.14,0.14,66000,0.14
2016-02-19,0.135,0.135,0.125,0.13,195300,0.13
2016-02-22,0.135,0.135,0.12,0.12,497300,0.12
2016-02-23,0.125,0.13,0.115,0.115,243900,0.115
2016-02-24,0.12,0.12,0.11,0.11,250200,0.11
2016-02-25,0.115,0.12,0.105,0.11,532300,0.11
2016-02-26,0.11,0.12,0.11,0.12,108800,0.12
2016-02-29,0.12,0.12,0.12,0.12,000,0.12
2016-03-01,0.12,0.13,0.12,0.125,170000,0.125
2016-03-02,0.125,0.125,0.125,0.125,000,0.125
2016-03-03,0.125,0.125,0.11,0.11,400100,0.11
2016-03-04,0.11,0.115,0.105,0.105,677100,0.105
2016-03-07,0.115,0.115,0.11,0.11,393300,0.11
2016-03-08,0.115,0.115,0.105,0.11,431200,0.11
2016-03-09,0.11,0.115,0.11,0.11,217500,0.11
2016-03-10,0.11,0.11,0.10,0.105,320700,0.105
2016-03-11,0.105,0.11,0.105,0.11,37900,0.11
2016-03-14,0.11,0.11,0.10,0.10,846900,0.10
2016-03-15,0.105,0.105,0.097,0.097,49200,0.097
2016-03-16,0.097,0.105,0.097,0.105,80800,0.105
2016-03-17,0.10,0.105,0.10,0.105,100900,0.105
2016-03-18,0.105,0.105,0.10,0.105,229800,0.105
2016-03-21,0.10,0.10,0.099,0.099,130800,0.099
2016-03-22,0.10,0.10,0.10,0.10,485000,0.10
2016-03-23,0.10,0.10,0.099,0.099,144600,0.099
2016-03-24,0.10,0.10,0.10,0.10,187000,0.10
2016-03-25,0.10,0.10,0.10,0.10,000,0.10
2016-03-28,0.10,0.10,0.10,0.10,000,0.10
2016-03-29,0.105,0.105,0.099,0.099,136700,0.099
2016-03-30,0.099,0.11,0.099,0.11,290000,0.11
2016-03-31,0.11,0.11,0.105,0.105,375700,0.105
2016-04-01,0.105,0.105,0.105,0.105,136300,0.105
2016-04-04,0.11,0.11,0.10,0.105,152800,0.105
2016-04-05,0.11,0.115,0.11,0.115,437900,0.115
2016-04-06,0.115,0.115,0.11,0.11,565600,0.11
2016-04-07,0.115,0.115,0.11,0.11,231400,0.11
2016-04-08,0.11,0.115,0.11,0.115,32800,0.115
2016-04-11,0.115,0.115,0.115,0.115,000,0.115
2016-04-12,0.135,0.15,0.135,0.135,1760400,0.135
2016-04-13,0.145,0.145,0.135,0.135,306600,0.135
2016-04-14,0.14,0.14,0.14,0.14,26600,0.14
2016-04-15,0.14,0.14,0.14,0.14,69300,0.14


2016-04-18,0.14,0.14,0.135,0.135,115000,0.135
2016-04-19,0.14,0.17,0.14,0.16,652300,0.16
2016-04-20,0.17,0.185,0.17,0.18,584700,0.18
2016-04-21,0.185,0.185,0.165,0.17,573100,0.17
2016-04-22,0.17,0.17,0.16,0.16,297300,0.16


2016-04-25,0.16,0.16,0.16,0.16,000,0.16
2016-04-26,0.16,0.16,0.155,0.16,85500,0.16
2016-04-27,0.155,0.16,0.15,0.15,148900,0.15
2016-04-28,0.155,0.175,0.155,0.165,391300,0.165
2016-04-29,0.17,0.17,0.155,0.16,189200,0.16


2016-05-02,0.16,0.16,0.16,0.16,92800,0.16
2016-05-03,0.165,0.165,0.16,0.165,103800,0.165
2016-05-04,0.17,0.17,0.15,0.15,322300,0.15
2016-05-05,0.15,0.15,0.15,0.15,44600,0.15
2016-05-06,0.15,0.155,0.15,0.155,51200,0.155


2016-05-09,0.15,0.15,0.15,0.15,44700,0.15
2016-05-10,0.155,0.165,0.15,0.15,213800,0.15
2016-05-11,0.145,0.15,0.135,0.14,458300,0.14
2016-05-12,0.14,0.14,0.14,0.14,178700,0.14
2016-05-13,0.14,0.14,0.135,0.135,217600,0.135


2016-05-16,0.135,0.135,0.125,0.125,111700,0.125
2016-05-17,0.125,0.135,0.125,0.135,135900,0.135
2016-05-18,0.14,0.15,0.12,0.125,912300,0.125
2016-05-19,0.125,0.13,0.125,0.125,133800,0.125
2016-05-20,0.125,0.13,0.125,0.125,42300,0.125


2016-05-23,0.13,0.13,0.13,0.13,93000,0.13
2016-05-24,0.13,0.13,0.125,0.125,59900,0.125
2016-05-25,0.13,0.13,0.125,0.125,11300,0.125
2016-05-26,0.13,0.13,0.12,0.12,329100,0.12
2016-05-27,0.125,0.125,0.11,0.115,296000,0.115


2016-05-30,0.11,0.12,0.11,0.11,137300,0.11
2016-05-31,0.11,0.15,0.11,0.145,995700,0.145
2016-06-01,0.15,0.16,0.145,0.15,785100,0.15
2016-06-02,0.15,0.15,0.145,0.15,297900,0.15
2016-06-03,0.15,0.15,0.135,0.14,270300,0.14


2016-06-06,0.145,0.15,0.145,0.15,367400,0.15
2016-06-07,0.15,0.15,0.145,0.15,341200,0.15
2016-06-08,0.145,0.15,0.14,0.14,325200,0.14
2016-06-09,0.14,0.14,0.14,0.14,10500,0.14
2016-06-10,0.145,0.15,0.145,0.15,91000,0.15


2016-06-13,0.15,0.15,0.15,0.15,000,0.15
2016-06-14,0.145,0.145,0.14,0.14,180100,0.14
