Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.002,0.002,0.002,0.002,000,0.04
2015-01-02,0.002,0.002,0.002,0.002,000,0.04
2015-01-05,0.002,0.002,0.002,0.002,000,0.04
2015-01-06,0.002,0.002,0.002,0.002,000,0.04
2015-01-07,0.002,0.002,0.002,0.002,000,0.04
2015-01-08,0.002,0.002,0.002,0.002,000,0.04
2015-01-09,0.002,0.002,0.002,0.002,000,0.04
2015-01-12,0.002,0.002,0.002,0.002,000,0.04
2015-01-13,0.002,0.002,0.002,0.002,000,0.04
2015-01-14,0.002,0.002,0.002,0.002,000,0.04
2015-01-15,0.002,0.002,0.002,0.002,000,0.04
2015-01-16,0.002,0.002,0.002,0.002,000,0.04
2015-01-19,0.002,0.002,0.002,0.002,000,0.04
2015-01-20,0.002,0.002,0.002,0.002,000,0.04
2015-01-21,0.002,0.002,0.002,0.002,000,0.04
2015-01-22,0.002,0.002,0.002,0.002,000,0.04
2015-01-23,0.04,0.04,0.04,0.04,000,0.04
2015-01-26,0.04,0.04,0.04,0.04,000,0.04
2015-01-27,0.04,0.04,0.04,0.04,000,0.04
2015-01-28,0.04,0.04,0.04,0.04,000,0.04
2015-01-29,0.04,0.04,0.04,0.04,000,0.04
2015-01-30,0.04,0.04,0.04,0.04,000,0.04
2015-02-02,0.04,0.04,0.04,0.04,000,0.04
2015-02-03,0.04,0.04,0.04,0.04,000,0.04
2015-02-04,0.04,0.04,0.04,0.04,000,0.04
2015-02-05,0.04,0.04,0.04,0.04,000,0.04
2015-02-06,0.04,0.04,0.04,0.04,000,0.04
2015-02-09,0.04,0.04,0.04,0.04,000,0.04
2015-02-10,0.04,0.04,0.04,0.04,000,0.04
2015-02-11,0.04,0.04,0.04,0.04,000,0.04
2015-02-12,0.04,0.04,0.04,0.04,000,0.04
2015-02-13,0.04,0.04,0.04,0.04,000,0.04
2015-02-16,0.04,0.04,0.04,0.04,000,0.04
2015-02-17,0.04,0.04,0.04,0.04,000,0.04
2015-02-18,0.04,0.04,0.04,0.04,000,0.04
2015-02-19,0.04,0.04,0.04,0.04,000,0.04
2015-02-20,0.04,0.04,0.04,0.04,000,0.04
2015-02-23,0.04,0.04,0.04,0.04,000,0.04
2015-02-24,0.04,0.04,0.04,0.04,000,0.04
2015-02-25,0.04,0.04,0.04,0.04,000,0.04
2015-02-26,0.04,0.04,0.04,0.04,000,0.04
2015-02-27,0.04,0.04,0.04,0.04,000,0.04
2015-03-02,0.04,0.04,0.04,0.04,000,0.04
2015-03-03,0.04,0.04,0.04,0.04,000,0.04
2015-03-04,0.04,0.04,0.04,0.04,000,0.04
2015-03-05,0.04,0.04,0.04,0.04,000,0.04
