Date,Open,High,Low,Close,Volume,Adj Close
2015-11-06,0.11,0.11,0.10,0.11,1316800,0.11
2015-11-09,0.10,0.11,0.10,0.11,130900,0.11
2015-11-10,0.10,0.11,0.095,0.11,285800,0.11
2015-11-11,0.11,0.11,0.11,0.11,100000,0.11
2015-11-12,0.105,0.105,0.105,0.105,10000,0.105
2015-11-13,0.10,0.105,0.10,0.105,505000,0.105
2015-11-16,0.105,0.105,0.105,0.105,000,0.105
2015-11-17,0.10,0.105,0.10,0.10,25000,0.10
2015-11-18,0.10,0.10,0.098,0.098,204800,0.098
2015-11-19,0.096,0.105,0.096,0.105,85700,0.105
2015-11-20,0.105,0.105,0.105,0.105,000,0.105
2015-11-23,0.10,0.10,0.10,0.10,5000,0.10
2015-11-24,0.095,0.105,0.095,0.095,626400,0.095
2015-11-25,0.095,0.095,0.095,0.095,20000,0.095
2015-11-26,0.096,0.10,0.096,0.10,69500,0.10
2015-11-27,0.10,0.10,0.10,0.10,000,0.10
2015-11-30,0.10,0.11,0.10,0.11,758100,0.11
2015-12-01,0.11,0.11,0.10,0.11,945900,0.11
2015-12-02,0.10,0.102,0.10,0.10,410300,0.10
2015-12-03,0.096,0.10,0.096,0.10,32100,0.10
2015-12-04,0.10,0.10,0.10,0.10,000,0.10
2015-12-07,0.10,0.10,0.10,0.10,000,0.10
2015-12-08,0.10,0.10,0.10,0.10,000,0.10
2015-12-09,0.092,0.092,0.092,0.092,10400,0.092
2015-12-10,0.092,0.092,0.092,0.092,000,0.092
2015-12-11,0.092,0.095,0.092,0.095,22500,0.095
2015-12-14,0.092,0.092,0.09,0.091,246000,0.091
2015-12-15,0.091,0.094,0.09,0.094,50800,0.094
2015-12-16,0.09,0.094,0.09,0.094,223900,0.094
2015-12-17,0.09,0.10,0.087,0.10,475700,0.10
2015-12-18,0.10,0.10,0.10,0.10,186200,0.10
2015-12-21,0.09,0.098,0.09,0.098,277900,0.098
2015-12-22,0.098,0.10,0.098,0.10,96500,0.10
2015-12-23,0.10,0.10,0.099,0.10,89400,0.10
2015-12-24,0.091,0.10,0.091,0.10,41200,0.10
2015-12-25,0.10,0.10,0.10,0.10,000,0.10
2015-12-28,0.10,0.10,0.10,0.10,000,0.10
2015-12-29,0.105,0.105,0.105,0.105,96500,0.105
2015-12-30,0.105,0.105,0.105,0.105,96700,0.105
2015-12-31,0.105,0.11,0.105,0.11,1154300,0.11
2016-01-01,0.11,0.11,0.11,0.11,000,0.11
2016-01-04,0.11,0.11,0.11,0.11,000,0.11
2016-01-05,0.11,0.11,0.11,0.11,000,0.11
2016-01-06,0.10,0.10,0.10,0.10,102200,0.10
2016-01-07,0.095,0.095,0.095,0.095,27600,0.095
2016-01-08,0.095,0.095,0.095,0.095,11800,0.095
2016-01-11,0.095,0.095,0.091,0.091,120100,0.091
2016-01-12,0.091,0.091,0.087,0.087,421000,0.087
2016-01-13,0.087,0.087,0.087,0.087,000,0.087
2016-01-14,0.087,0.087,0.087,0.087,300,0.087
2016-01-15,0.09,0.09,0.09,0.09,10000,0.09
2016-01-18,0.087,0.087,0.086,0.086,96100,0.086
2016-01-19,0.086,0.086,0.086,0.086,000,0.086
2016-01-20,0.082,0.088,0.082,0.088,168600,0.088
2016-01-21,0.082,0.088,0.082,0.088,463900,0.088
2016-01-22,0.088,0.088,0.088,0.088,000,0.088
2016-01-25,0.086,0.086,0.084,0.084,434500,0.084
2016-01-26,0.084,0.084,0.084,0.084,000,0.084
2016-01-27,0.083,0.087,0.083,0.084,208800,0.084
2016-01-28,0.085,0.095,0.085,0.093,382000,0.093
2016-01-29,0.095,0.11,0.094,0.099,3424700,0.099
2016-02-01,0.10,0.10,0.096,0.096,1000200,0.096
2016-02-02,0.096,0.099,0.09,0.09,1114800,0.09
2016-02-03,0.091,0.091,0.09,0.091,518900,0.091
2016-02-04,0.095,0.095,0.093,0.095,468100,0.095
2016-02-05,0.097,0.097,0.094,0.094,124900,0.094
2016-02-08,0.094,0.095,0.094,0.094,54700,0.094
2016-02-09,0.094,0.094,0.09,0.09,112500,0.09
2016-02-10,0.091,0.091,0.09,0.09,36200,0.09
2016-02-11,0.09,0.09,0.088,0.088,79900,0.088
2016-02-12,0.09,0.09,0.089,0.09,190900,0.09
2016-02-15,0.091,0.092,0.089,0.089,190800,0.089
2016-02-16,0.09,0.095,0.089,0.095,572500,0.095
2016-02-17,0.091,0.092,0.086,0.092,1042200,0.092
2016-02-18,0.087,0.087,0.086,0.086,187700,0.086
2016-02-19,0.086,0.086,0.086,0.086,220100,0.086
2016-02-22,0.086,0.087,0.085,0.086,77300,0.086
2016-02-23,0.087,0.087,0.086,0.086,156100,0.086
2016-02-24,0.086,0.088,0.086,0.086,378900,0.086
2016-02-25,0.087,0.09,0.086,0.09,1025100,0.09
2016-02-26,0.091,0.092,0.089,0.09,2261500,0.09
2016-02-29,0.09,0.09,0.089,0.089,330900,0.089
2016-03-01,0.092,0.092,0.089,0.089,292400,0.089
2016-03-02,0.089,0.09,0.088,0.09,483700,0.09
2016-03-03,0.09,0.091,0.089,0.09,447400,0.09
2016-03-04,0.09,0.09,0.09,0.09,1564900,0.09
2016-03-07,0.092,0.0935,0.092,0.093,1965300,0.093
2016-03-08,0.095,0.097,0.094,0.095,2029900,0.095
2016-03-09,0.095,0.095,0.091,0.094,443900,0.094
2016-03-10,0.094,0.095,0.092,0.095,175100,0.095
2016-03-11,0.093,0.093,0.093,0.093,329300,0.093
2016-03-14,0.092,0.092,0.09,0.09,260400,0.09
2016-03-15,0.09,0.09,0.089,0.089,524700,0.089
2016-03-16,0.09,0.09,0.089,0.09,623000,0.09
2016-03-17,0.09,0.09,0.09,0.09,1300100,0.09
2016-03-18,0.09,0.091,0.086,0.09,17248100,0.09
2016-03-21,0.091,0.091,0.089,0.089,1266700,0.089
2016-03-22,0.09,0.09,0.087,0.088,1456000,0.088
2016-03-23,0.089,0.095,0.089,0.09,590600,0.09
2016-03-24,0.09,0.09,0.09,0.09,402500,0.09
2016-03-25,0.09,0.09,0.09,0.09,000,0.09
2016-03-28,0.09,0.09,0.09,0.09,000,0.09
2016-03-29,0.089,0.09,0.089,0.09,301300,0.09
2016-03-30,0.09,0.09,0.089,0.089,171300,0.089
2016-03-31,0.09,0.093,0.089,0.093,1355100,0.093
2016-04-01,0.092,0.092,0.09,0.09,1089000,0.09
2016-04-04,0.09,0.09,0.089,0.09,254100,0.09
2016-04-05,0.089,0.09,0.088,0.088,191800,0.088
2016-04-06,0.088,0.089,0.086,0.089,1007700,0.089
2016-04-07,0.09,0.091,0.089,0.091,863000,0.091
2016-04-08,0.09,0.091,0.089,0.091,417300,0.091
2016-04-11,0.093,0.093,0.09,0.093,557100,0.093
2016-04-12,0.093,0.093,0.093,0.093,245800,0.093
2016-04-13,0.093,0.094,0.092,0.094,296200,0.094
2016-04-14,0.093,0.093,0.092,0.092,161500,0.092
2016-04-15,0.093,0.093,0.092,0.093,220900,0.093


2016-04-18,0.092,0.093,0.092,0.093,123100,0.093
2016-04-19,0.093,0.093,0.092,0.092,136200,0.092
2016-04-20,0.093,0.094,0.092,0.094,712400,0.094
2016-04-21,0.093,0.094,0.093,0.094,180300,0.094
2016-04-22,0.094,0.095,0.094,0.095,1441300,0.095


2016-04-25,0.095,0.095,0.095,0.095,000,0.095
2016-04-26,0.096,0.099,0.094,0.094,2233000,0.094
2016-04-27,0.094,0.096,0.094,0.094,884600,0.094
2016-04-28,0.094,0.095,0.094,0.094,321000,0.094
2016-04-29,0.095,0.099,0.094,0.099,1379300,0.099


2016-05-02,0.099,0.10,0.096,0.096,566400,0.096
2016-05-03,0.097,0.105,0.096,0.10,2270500,0.10
2016-05-04,0.10,0.105,0.10,0.10,540100,0.10
2016-05-05,0.10,0.105,0.098,0.098,1081500,0.098
2016-05-06,0.097,0.10,0.097,0.10,145100,0.10


2016-05-09,0.105,0.105,0.097,0.10,913000,0.10
2016-05-10,0.10,0.105,0.10,0.10,609900,0.10
2016-05-11,0.10,0.105,0.10,0.105,81000,0.105
2016-05-12,0.105,0.115,0.105,0.11,2508600,0.11
2016-05-13,0.11,0.115,0.11,0.11,1958800,0.11


2016-05-16,0.11,0.115,0.11,0.11,784300,0.11
2016-05-17,0.11,0.11,0.105,0.105,907800,0.105
2016-05-18,0.115,0.115,0.11,0.11,275100,0.11
2016-05-19,0.115,0.115,0.105,0.105,1007700,0.105
2016-05-20,0.115,0.12,0.11,0.12,2342300,0.12


2016-05-23,0.125,0.13,0.125,0.13,876300,0.13
2016-05-24,0.125,0.125,0.125,0.125,807100,0.125
2016-05-25,0.13,0.13,0.125,0.125,91100,0.125
2016-05-26,0.125,0.125,0.12,0.12,550300,0.12
2016-05-27,0.12,0.12,0.12,0.12,229300,0.12


2016-05-30,0.12,0.12,0.11,0.115,696300,0.115
2016-05-31,0.115,0.12,0.115,0.12,248600,0.12
2016-06-01,0.12,0.12,0.12,0.12,000,0.12
2016-06-02,0.135,0.135,0.12,0.12,7045600,0.12
2016-06-03,0.125,0.125,0.12,0.12,1646800,0.12


2016-06-06,0.125,0.125,0.122,0.125,1231300,0.125
2016-06-07,0.125,0.125,0.12,0.12,1049600,0.12
2016-06-08,0.125,0.125,0.12,0.12,1452900,0.12
2016-06-09,0.122,0.122,0.12,0.12,221800,0.12
2016-06-10,0.12,0.12,0.115,0.115,1340500,0.115


2016-06-13,0.115,0.115,0.115,0.115,000,0.115
2016-06-14,0.12,0.125,0.12,0.12,1939900,0.12
