Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.255,0.255,0.255,0.255,000,0.255
2015-01-02,0.255,0.255,0.255,0.255,000,0.255
2015-01-05,0.255,0.255,0.255,0.255,000,0.255
2015-01-06,0.255,0.255,0.255,0.255,000,0.255
2015-01-07,0.255,0.255,0.255,0.255,000,0.255
2015-01-08,0.255,0.255,0.255,0.255,000,0.255
2015-01-09,0.255,0.255,0.255,0.255,000,0.255
2015-01-12,0.255,0.255,0.255,0.255,000,0.255
2015-01-13,0.255,0.255,0.255,0.255,000,0.255
2015-01-14,0.255,0.255,0.255,0.255,000,0.255
2015-01-15,0.22,0.22,0.22,0.22,5000,0.22
2015-01-16,0.225,0.255,0.225,0.255,29000,0.255
2015-01-19,0.255,0.255,0.255,0.255,000,0.255
2015-01-20,0.22,0.22,0.22,0.22,5000,0.22
2015-01-21,0.22,0.22,0.22,0.22,2200,0.22
2015-01-22,0.22,0.22,0.22,0.22,000,0.22
2015-01-23,0.22,0.22,0.22,0.22,2000,0.22
2015-01-26,0.22,0.22,0.22,0.22,000,0.22
2015-01-27,0.22,0.22,0.22,0.22,000,0.22
2015-01-28,0.22,0.22,0.22,0.22,000,0.22
2015-01-29,0.22,0.22,0.22,0.22,000,0.22
2015-01-30,0.24,0.24,0.24,0.24,000,0.24
2015-02-02,0.24,0.24,0.24,0.24,000,0.24
2015-02-03,0.24,0.24,0.24,0.24,000,0.24
2015-02-04,0.22,0.22,0.22,0.22,5000,0.22
2015-02-05,0.22,0.22,0.22,0.22,000,0.22
2015-02-06,0.22,0.22,0.22,0.22,000,0.22
2015-02-09,0.22,0.22,0.22,0.22,000,0.22
2015-02-10,0.22,0.22,0.22,0.22,000,0.22
2015-02-11,0.22,0.22,0.22,0.22,000,0.22
2015-02-12,0.22,0.22,0.22,0.22,000,0.22
2015-02-13,0.22,0.22,0.22,0.22,000,0.22
2015-02-16,0.22,0.22,0.22,0.22,000,0.22
2015-02-17,0.22,0.22,0.22,0.22,000,0.22
2015-02-18,0.26,0.28,0.26,0.28,5900,0.28
2015-02-19,0.28,0.28,0.28,0.28,000,0.28
2015-02-20,0.28,0.28,0.28,0.28,000,0.28
2015-02-23,0.28,0.28,0.28,0.28,000,0.28
2015-02-24,0.28,0.28,0.28,0.28,000,0.28
2015-02-25,0.28,0.28,0.28,0.28,000,0.28
