Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.44,2.44,2.44,2.44,000,2.44
2015-01-02,2.43,2.47,2.40,2.46,735700,2.46
2015-01-05,2.46,2.70,2.43,2.64,2180000,2.64
2015-01-06,2.53,2.69,2.50,2.64,1546100,2.64
2015-01-07,2.62,2.62,2.48,2.52,1276000,2.52
2015-01-08,2.54,2.57,2.49,2.51,1144800,2.51
2015-01-09,2.56,2.56,2.46,2.52,1078400,2.52
2015-01-12,2.48,2.54,2.46,2.50,850500,2.50
2015-01-13,2.44,2.445,2.32,2.35,1246900,2.35
2015-01-14,2.34,2.35,2.23,2.24,1578800,2.24
2015-01-15,2.28,2.31,2.21,2.24,1530700,2.24
2015-01-16,2.20,2.23,2.12,2.17,2000100,2.17
2015-01-19,2.20,2.28,2.16,2.17,1342700,2.17
2015-01-20,2.16,2.16,2.04,2.10,1919900,2.10
2015-01-21,2.09,2.20,2.05,2.18,1196600,2.18
2015-01-22,2.20,2.26,2.17,2.18,987000,2.18
2015-01-23,2.15,2.30,2.14,2.26,2550300,2.26
2015-01-26,2.26,2.26,2.26,2.26,000,2.26
2015-01-27,2.27,2.29,2.10,2.13,1143400,2.13
2015-01-28,2.15,2.25,2.15,2.23,968100,2.23
2015-01-29,2.17,2.19,2.10,2.10,1341300,2.10
2015-01-30,2.11,2.16,2.10,2.12,1010300,2.12
2015-02-02,2.17,2.22,2.17,2.18,986400,2.18
2015-02-03,2.26,2.43,2.24,2.39,2088800,2.39
2015-02-04,2.49,2.49,2.39,2.44,1773500,2.44
2015-02-05,2.38,2.44,2.34,2.39,917600,2.39
2015-02-06,2.43,2.48,2.38,2.39,630300,2.39
2015-02-09,2.41,2.44,2.32,2.38,694300,2.38
2015-02-10,2.41,2.41,2.325,2.35,614600,2.35
2015-02-11,2.35,2.35,2.24,2.25,928600,2.25
2015-02-12,2.29,2.30,2.20,2.27,984400,2.27
2015-02-13,2.32,2.53,2.29,2.50,2200700,2.50
2015-02-16,2.50,2.72,2.48,2.70,2004600,2.70
2015-02-17,2.70,2.70,2.57,2.61,1017900,2.61
2015-02-18,2.61,2.80,2.59,2.78,1370500,2.78
2015-02-19,2.72,2.78,2.66,2.69,976300,2.69
2015-02-20,2.70,2.80,2.66,2.75,1024300,2.75
2015-02-23,2.77,2.77,2.65,2.69,766800,2.69
2015-02-24,2.68,2.87,2.65,2.86,1526200,2.86
2015-02-25,2.86,2.86,2.77,2.80,1210100,2.80
2015-02-26,2.80,2.84,2.72,2.74,1239700,2.74
2015-02-27,2.71,2.71,2.58,2.62,1247800,2.62
2015-03-02,2.65,2.76,2.63,2.74,900700,2.74
2015-03-03,2.70,2.76,2.67,2.69,1105200,2.69
2015-03-04,2.71,2.755,2.68,2.72,834000,2.72
2015-03-05,2.73,2.73,2.61,2.63,1014500,2.63
2015-03-06,2.60,2.61,2.50,2.52,607200,2.52
2015-03-09,2.51,2.52,2.40,2.48,986500,2.48
2015-03-10,2.50,2.50,2.36,2.40,657100,2.40
2015-03-11,2.36,2.36,2.30,2.31,948200,2.31
2015-03-12,2.32,2.36,2.29,2.35,724600,2.35
2015-03-13,2.34,2.38,2.31,2.36,561000,2.36
2015-03-16,2.30,2.34,2.26,2.28,668400,2.28
2015-03-17,2.26,2.70,2.25,2.60,1962300,2.60
2015-03-18,2.53,2.71,2.53,2.63,1453300,2.63
2015-03-19,2.68,2.72,2.63,2.64,1213400,2.64
2015-03-20,2.61,2.62,2.05,2.16,6181000,2.16
2015-03-23,2.18,2.23,2.11,2.21,2165500,2.21
2015-03-24,2.24,2.26,2.16,2.22,1938100,2.22
2015-03-25,2.23,2.26,2.15,2.16,1183500,2.16
2015-03-26,2.14,2.24,2.12,2.23,1495900,2.23
2015-03-27,2.21,2.30,2.20,2.25,1208200,2.25
2015-03-30,2.21,2.24,2.11,2.13,1288400,2.13
2015-03-31,2.17,2.18,2.14,2.16,594700,2.16
2015-04-01,2.16,2.21,2.13,2.20,990100,2.20
2015-04-02,2.22,2.25,2.11,2.14,1061100,2.14
2015-04-03,2.14,2.14,2.14,2.14,000,2.14
2015-04-06,2.14,2.14,2.14,2.14,000,2.14
2015-04-07,2.14,2.21,2.14,2.19,747500,2.19
2015-04-08,2.22,2.40,2.20,2.37,1507100,2.37
2015-04-09,2.32,2.43,2.27,2.38,1127500,2.38
2015-04-10,2.39,2.47,2.35,2.40,675100,2.40
2015-04-13,2.42,2.66,2.32,2.37,1915400,2.37
2015-04-14,2.36,2.49,2.35,2.46,860400,2.46
2015-04-15,2.45,2.555,2.45,2.54,1337900,2.54
2015-04-16,2.60,2.68,2.59,2.63,1471900,2.63
2015-04-17,2.63,2.80,2.63,2.75,2335000,2.75
2015-04-20,3.01,3.04,2.75,2.79,2975200,2.79
2015-04-21,2.80,2.80,2.63,2.69,1651300,2.69
2015-04-22,2.69,2.73,2.65,2.70,1626500,2.70
2015-04-23,2.71,2.74,2.69,2.73,998700,2.73
2015-04-24,2.76,2.86,2.74,2.85,1595400,2.85
2015-04-27,2.84,2.88,2.82,2.84,602800,2.84
2015-04-28,2.85,2.86,2.77,2.78,671300,2.78
2015-04-29,2.79,2.81,2.71,2.73,488700,2.73
2015-04-30,2.71,2.79,2.70,2.75,590500,2.75
2015-05-01,2.71,2.80,2.71,2.78,588600,2.78
2015-05-04,2.80,2.83,2.74,2.81,471800,2.81
2015-05-05,2.82,2.85,2.70,2.70,873200,2.70
2015-05-06,2.71,2.87,2.71,2.83,1134000,2.83
2015-05-07,2.76,2.80,2.64,2.68,1736300,2.68
2015-05-08,2.70,2.78,2.66,2.66,1224800,2.66
2015-05-11,2.74,2.75,2.68,2.71,565700,2.71
2015-05-12,2.73,2.87,2.71,2.77,1366600,2.77
2015-05-13,2.82,2.95,2.81,2.92,1519300,2.92
2015-05-14,2.89,3.04,2.87,3.01,2023100,3.01
2015-05-15,3.04,3.10,3.00,3.04,1956300,3.04
2015-05-18,3.02,3.11,2.98,3.06,1315200,3.06
2015-05-19,3.00,3.05,2.825,2.87,2007300,2.87
2015-05-20,2.81,2.84,2.75,2.78,1247700,2.78
2015-05-21,2.76,2.87,2.76,2.86,1028500,2.86
2015-05-22,2.92,2.94,2.83,2.89,558500,2.89
2015-05-25,2.89,2.93,2.85,2.91,456500,2.91
