Date,Open,High,Low,Close,Volume,Adj Close
2015-06-24,0.165,0.19,0.15,0.19,80000,0.19
2015-06-25,0.19,0.21,0.19,0.20,198300,0.20
2015-06-26,0.19,0.195,0.19,0.195,14700,0.195
2015-06-29,0.18,0.18,0.17,0.17,29600,0.17
2015-06-30,0.165,0.165,0.15,0.15,89600,0.15
2015-07-01,0.14,0.14,0.14,0.14,82600,0.14
2015-07-02,0.13,0.14,0.12,0.14,52800,0.14
2015-07-03,0.14,0.14,0.14,0.14,000,0.14
2015-07-06,0.13,0.13,0.13,0.13,48500,0.13
2015-07-07,0.13,0.15,0.125,0.15,145000,0.15
2015-07-08,0.15,0.15,0.15,0.15,10000,0.15
2015-07-09,0.13,0.145,0.13,0.145,53500,0.145
2015-07-10,0.15,0.17,0.15,0.17,30000,0.17
2015-07-13,0.165,0.175,0.165,0.175,93000,0.175
2015-07-14,0.175,0.175,0.17,0.17,38000,0.17
2015-07-15,0.17,0.17,0.17,0.17,000,0.17
2015-07-16,0.17,0.17,0.17,0.17,000,0.17
2015-07-17,0.16,0.16,0.16,0.16,17000,0.16
2015-07-20,0.16,0.16,0.16,0.16,000,0.16
2015-07-21,0.16,0.16,0.16,0.16,38000,0.16
2015-07-22,0.155,0.155,0.155,0.155,30500,0.155
2015-07-23,0.155,0.155,0.155,0.155,000,0.155
2015-07-24,0.155,0.155,0.155,0.155,000,0.155
2015-07-27,0.155,0.155,0.155,0.155,000,0.155
2015-07-28,0.155,0.155,0.155,0.155,000,0.155
2015-07-29,0.155,0.155,0.155,0.155,000,0.155
2015-07-30,0.155,0.155,0.155,0.155,000,0.155
2015-07-31,0.155,0.155,0.155,0.155,000,0.155
2015-08-03,0.14,0.14,0.14,0.14,4700,0.14
2015-08-04,0.16,0.16,0.16,0.16,10000,0.16
2015-08-05,0.16,0.16,0.145,0.145,41100,0.145
2015-08-06,0.145,0.145,0.145,0.145,000,0.145
2015-08-07,0.155,0.155,0.15,0.15,56700,0.15
2015-08-10,0.15,0.15,0.15,0.15,000,0.15
2015-08-11,0.15,0.15,0.15,0.15,000,0.15
2015-08-12,0.16,0.16,0.16,0.16,25000,0.16
2015-08-13,0.17,0.175,0.17,0.175,19800,0.175
2015-08-14,0.15,0.15,0.15,0.15,20000,0.15
2015-08-17,0.15,0.16,0.15,0.16,65000,0.16
2015-08-18,0.15,0.15,0.15,0.15,30000,0.15
2015-08-19,0.15,0.15,0.15,0.15,81800,0.15
2015-08-20,0.15,0.15,0.15,0.15,000,0.15
2015-08-21,0.14,0.14,0.135,0.14,33800,0.14
2015-08-24,0.145,0.15,0.145,0.15,31600,0.15
2015-08-25,0.15,0.15,0.15,0.15,000,0.15
2015-08-26,0.145,0.145,0.14,0.14,39800,0.14
2015-08-27,0.14,0.14,0.14,0.14,000,0.14
2015-08-28,0.14,0.14,0.14,0.14,000,0.14
2015-08-31,0.15,0.15,0.15,0.15,10000,0.15
2015-09-01,0.16,0.16,0.16,0.16,32500,0.16
2015-09-02,0.15,0.15,0.15,0.15,25000,0.15
2015-09-03,0.15,0.15,0.15,0.15,000,0.15
2015-09-04,0.16,0.16,0.16,0.16,34000,0.16
2015-09-07,0.15,0.15,0.15,0.15,25000,0.15
2015-09-08,0.15,0.15,0.15,0.15,000,0.15
2015-09-09,0.15,0.15,0.15,0.15,000,0.15
2015-09-10,0.15,0.165,0.15,0.165,138300,0.165
2015-09-11,0.16,0.165,0.16,0.165,25000,0.165
2015-09-14,0.165,0.165,0.165,0.165,000,0.165
2015-09-15,0.15,0.15,0.15,0.15,50000,0.15
2015-09-16,0.15,0.15,0.15,0.15,000,0.15
2015-09-17,0.15,0.15,0.15,0.15,25000,0.15
2015-09-18,0.15,0.15,0.15,0.15,000,0.15
2015-09-21,0.15,0.15,0.14,0.15,199000,0.15
2015-09-22,0.15,0.15,0.145,0.145,64300,0.145
2015-09-23,0.145,0.145,0.145,0.145,000,0.145
2015-09-24,0.15,0.15,0.15,0.15,67800,0.15
2015-09-25,0.15,0.15,0.15,0.15,000,0.15
2015-09-28,0.15,0.15,0.15,0.15,000,0.15
2015-09-29,0.15,0.15,0.15,0.15,000,0.15
2015-09-30,0.15,0.15,0.15,0.15,000,0.15
2015-10-01,0.15,0.15,0.15,0.15,11000,0.15
2015-10-02,0.15,0.15,0.15,0.15,15700,0.15
2015-10-05,0.15,0.15,0.15,0.15,000,0.15
2015-10-06,0.15,0.15,0.15,0.15,41000,0.15
2015-10-07,0.15,0.15,0.15,0.15,000,0.15
2015-10-08,0.15,0.15,0.15,0.15,000,0.15
2015-10-09,0.14,0.16,0.14,0.16,146000,0.16
2015-10-12,0.17,0.17,0.17,0.17,1600,0.17
2015-10-13,0.17,0.17,0.16,0.16,32300,0.16
2015-10-14,0.15,0.15,0.15,0.15,47500,0.15
2015-10-15,0.15,0.16,0.15,0.16,60000,0.16
2015-10-16,0.15,0.15,0.15,0.15,169600,0.15
2015-10-19,0.15,0.15,0.15,0.15,123900,0.15
2015-10-20,0.15,0.15,0.15,0.15,2500,0.15
2015-10-21,0.16,0.16,0.15,0.15,6800,0.15
2015-10-22,0.15,0.15,0.15,0.15,227000,0.15
2015-10-23,0.15,0.15,0.15,0.15,000,0.15
2015-10-26,0.16,0.16,0.16,0.16,20000,0.16
2015-10-27,0.16,0.16,0.16,0.16,000,0.16
2015-10-28,0.16,0.16,0.16,0.16,11200,0.16
2015-10-29,0.15,0.155,0.15,0.15,50000,0.15
2015-10-30,0.155,0.155,0.15,0.15,20000,0.15
2015-11-02,0.15,0.15,0.14,0.15,116800,0.15
2015-11-03,0.15,0.15,0.15,0.15,000,0.15
2015-11-04,0.15,0.15,0.15,0.15,000,0.15
2015-11-05,0.15,0.15,0.15,0.15,000,0.15
2015-11-06,0.15,0.15,0.15,0.15,64900,0.15
2015-11-09,0.15,0.15,0.15,0.15,000,0.15
2015-11-10,0.15,0.15,0.15,0.15,35000,0.15
2015-11-11,0.15,0.15,0.15,0.15,000,0.15
2015-11-12,0.15,0.15,0.15,0.15,000,0.15
2015-11-13,0.15,0.15,0.15,0.15,000,0.15
2015-11-16,0.15,0.15,0.15,0.15,000,0.15
2015-11-17,0.15,0.15,0.15,0.15,000,0.15
2015-11-18,0.15,0.15,0.15,0.15,000,0.15
2015-11-19,0.15,0.15,0.15,0.15,33200,0.15
2015-11-20,0.15,0.15,0.15,0.15,000,0.15
2015-11-23,0.15,0.15,0.15,0.15,000,0.15
2015-11-24,0.15,0.15,0.15,0.15,300,0.15
2015-11-25,0.15,0.15,0.15,0.15,000,0.15
2015-11-26,0.15,0.15,0.15,0.15,000,0.15
2015-11-27,0.145,0.145,0.145,0.145,55800,0.145
2015-11-30,0.145,0.145,0.145,0.145,000,0.145
2015-12-01,0.145,0.145,0.145,0.145,000,0.145
2015-12-02,0.145,0.145,0.145,0.145,000,0.145
2015-12-03,0.145,0.145,0.145,0.145,000,0.145
2015-12-04,0.145,0.145,0.145,0.145,000,0.145
2015-12-07,0.145,0.145,0.145,0.145,000,0.145
2015-12-08,0.14,0.14,0.135,0.135,42500,0.135
2015-12-09,0.13,0.13,0.12,0.125,136900,0.125
2015-12-10,0.125,0.125,0.125,0.125,40400,0.125
2015-12-11,0.13,0.13,0.13,0.13,47000,0.13
2015-12-14,0.135,0.135,0.135,0.135,100000,0.135
2015-12-15,0.145,0.15,0.145,0.15,65700,0.15
2015-12-16,0.15,0.15,0.15,0.15,16900,0.15
2015-12-17,0.15,0.18,0.15,0.18,55700,0.18
2015-12-18,0.18,0.18,0.18,0.18,000,0.18
2015-12-21,0.18,0.18,0.18,0.18,000,0.18
2015-12-22,0.18,0.18,0.18,0.18,000,0.18
2015-12-23,0.18,0.18,0.18,0.18,000,0.18
2015-12-24,0.18,0.18,0.18,0.18,000,0.18
2015-12-25,0.18,0.18,0.18,0.18,000,0.18
2015-12-28,0.18,0.18,0.18,0.18,000,0.18
2015-12-29,0.18,0.18,0.18,0.18,000,0.18
2015-12-30,0.18,0.18,0.18,0.18,000,0.18
2015-12-31,0.18,0.18,0.18,0.18,000,0.18
2016-01-01,0.18,0.18,0.18,0.18,000,0.18
2016-01-04,0.18,0.18,0.18,0.18,000,0.18
2016-01-05,0.18,0.18,0.18,0.18,000,0.18
2016-01-06,0.18,0.18,0.18,0.18,000,0.18
2016-01-07,0.18,0.18,0.18,0.18,000,0.18
2016-01-08,0.15,0.15,0.15,0.15,27000,0.15
2016-01-11,0.15,0.15,0.15,0.15,000,0.15
2016-01-12,0.15,0.15,0.15,0.15,000,0.15
2016-01-13,0.15,0.15,0.15,0.15,000,0.15
2016-01-14,0.15,0.15,0.15,0.15,000,0.15
2016-01-15,0.15,0.15,0.15,0.15,000,0.15
2016-01-18,0.15,0.15,0.15,0.15,000,0.15
2016-01-19,0.15,0.15,0.15,0.15,000,0.15
2016-01-20,0.15,0.15,0.15,0.15,000,0.15
2016-01-21,0.15,0.15,0.15,0.15,000,0.15
2016-01-22,0.14,0.15,0.14,0.15,104600,0.15
2016-01-25,0.125,0.125,0.125,0.125,14000,0.125
2016-01-26,0.125,0.125,0.125,0.125,000,0.125
2016-01-27,0.15,0.15,0.15,0.15,10000,0.15
2016-01-28,0.15,0.15,0.15,0.15,000,0.15
2016-01-29,0.14,0.14,0.14,0.14,7100,0.14
2016-02-01,0.14,0.14,0.14,0.14,000,0.14
2016-02-02,0.125,0.15,0.125,0.15,32500,0.15
2016-02-03,0.15,0.15,0.15,0.15,11700,0.15
2016-02-04,0.15,0.15,0.15,0.15,25600,0.15
2016-02-05,0.15,0.15,0.15,0.15,000,0.15
2016-02-08,0.15,0.15,0.15,0.15,000,0.15
2016-02-09,0.15,0.15,0.15,0.15,66500,0.15
2016-02-10,0.15,0.15,0.15,0.15,70000,0.15
2016-02-11,0.15,0.15,0.15,0.15,28900,0.15
2016-02-12,0.15,0.15,0.15,0.15,000,0.15
2016-02-15,0.15,0.15,0.15,0.15,1300,0.15
2016-02-16,0.15,0.15,0.15,0.15,000,0.15
2016-02-17,0.15,0.15,0.15,0.15,000,0.15
2016-02-18,0.15,0.15,0.15,0.15,000,0.15
2016-02-19,0.15,0.15,0.15,0.15,000,0.15
2016-02-22,0.15,0.15,0.15,0.15,000,0.15
2016-02-23,0.15,0.15,0.15,0.15,42900,0.15
2016-02-24,0.15,0.15,0.15,0.15,000,0.15
2016-02-25,0.15,0.15,0.15,0.15,000,0.15
2016-02-26,0.14,0.15,0.14,0.15,81000,0.15
2016-02-29,0.15,0.15,0.15,0.15,000,0.15
2016-03-01,0.15,0.15,0.15,0.15,000,0.15
2016-03-02,0.15,0.155,0.15,0.155,223200,0.155
2016-03-03,0.155,0.16,0.15,0.16,94800,0.16
2016-03-04,0.16,0.175,0.15,0.175,186100,0.175
2016-03-07,0.18,0.20,0.165,0.20,303900,0.20
2016-03-08,0.20,0.20,0.18,0.20,292500,0.20
2016-03-09,0.185,0.185,0.185,0.185,25000,0.185
2016-03-10,0.185,0.185,0.185,0.185,127800,0.185
2016-03-11,0.195,0.21,0.195,0.21,260000,0.21
2016-03-14,0.22,0.24,0.22,0.23,109700,0.23
2016-03-15,0.23,0.24,0.22,0.23,188000,0.23
2016-03-16,0.205,0.205,0.19,0.19,155000,0.19
2016-03-17,0.19,0.19,0.19,0.19,000,0.19
2016-03-18,0.20,0.20,0.20,0.20,110000,0.20
2016-03-21,0.20,0.20,0.20,0.20,33500,0.20
2016-03-22,0.20,0.20,0.20,0.20,000,0.20
2016-03-23,0.19,0.19,0.17,0.17,120200,0.17
2016-03-24,0.17,0.18,0.17,0.18,55000,0.18
2016-03-25,0.18,0.18,0.18,0.18,000,0.18
2016-03-28,0.18,0.18,0.18,0.18,000,0.18
2016-03-29,0.18,0.18,0.18,0.18,38000,0.18
2016-03-30,0.18,0.18,0.17,0.17,3100,0.17
2016-03-31,0.17,0.17,0.17,0.17,000,0.17
2016-04-01,0.17,0.18,0.155,0.18,189000,0.18
2016-04-04,0.17,0.17,0.17,0.17,200000,0.17
2016-04-05,0.16,0.16,0.16,0.16,10000,0.16
2016-04-06,0.17,0.18,0.17,0.18,206100,0.18
2016-04-07,0.19,0.20,0.185,0.20,254700,0.20
2016-04-08,0.20,0.20,0.17,0.17,212000,0.17
2016-04-11,0.17,0.17,0.17,0.17,97000,0.17
2016-04-12,0.18,0.19,0.18,0.19,96900,0.19
2016-04-13,0.19,0.19,0.19,0.19,75000,0.19
2016-04-14,0.19,0.19,0.19,0.19,3000,0.19
2016-04-15,0.19,0.20,0.19,0.20,617000,0.20


2016-04-18,0.18,0.18,0.18,0.18,50000,0.18
2016-04-19,0.19,0.20,0.19,0.20,33300,0.20
2016-04-20,0.20,0.20,0.20,0.20,409000,0.20
2016-04-21,0.205,0.21,0.205,0.21,69900,0.21
2016-04-22,0.21,0.22,0.205,0.205,149000,0.205


2016-04-25,0.205,0.205,0.205,0.205,000,0.205
2016-04-26,0.205,0.205,0.20,0.20,36200,0.20
2016-04-27,0.20,0.20,0.20,0.20,000,0.20
2016-04-28,0.20,0.20,0.20,0.20,000,0.20
2016-04-29,0.21,0.21,0.21,0.21,10000,0.21


2016-05-02,0.21,0.21,0.21,0.21,8000,0.21
2016-05-03,0.22,0.22,0.22,0.22,72500,0.22
2016-05-04,0.21,0.21,0.21,0.21,30000,0.21
2016-05-05,0.21,0.22,0.21,0.22,60700,0.22
2016-05-06,0.22,0.22,0.22,0.22,000,0.22


2016-05-09,0.215,0.215,0.21,0.21,37900,0.21
2016-05-10,0.20,0.20,0.20,0.20,132100,0.20
2016-05-11,0.185,0.185,0.185,0.185,7000,0.185
2016-05-12,0.19,0.19,0.19,0.19,20000,0.19
2016-05-13,0.19,0.19,0.19,0.19,10000,0.19


2016-05-16,0.19,0.20,0.19,0.20,26500,0.20
2016-05-17,0.20,0.20,0.20,0.20,000,0.20
2016-05-18,0.20,0.20,0.20,0.20,100000,0.20
2016-05-19,0.20,0.20,0.20,0.20,000,0.20
2016-05-20,0.20,0.20,0.20,0.20,25000,0.20


2016-05-23,0.20,0.20,0.20,0.20,000,0.20
2016-05-24,0.20,0.20,0.20,0.20,000,0.20
2016-05-25,0.20,0.20,0.20,0.20,000,0.20
2016-05-26,0.20,0.20,0.20,0.20,000,0.20
2016-05-27,0.195,0.20,0.195,0.20,170700,0.20


2016-05-30,0.195,0.20,0.195,0.20,97000,0.20
2016-05-31,0.20,0.20,0.20,0.20,000,0.20
2016-06-01,0.20,0.20,0.20,0.20,000,0.20
2016-06-02,0.185,0.185,0.185,0.185,18000,0.185
2016-06-03,0.185,0.185,0.185,0.185,000,0.185


2016-06-06,0.185,0.185,0.185,0.185,000,0.185
2016-06-07,0.185,0.185,0.185,0.185,20600,0.185
2016-06-08,0.185,0.185,0.185,0.185,9300,0.185
2016-06-09,0.17,0.17,0.15,0.15,25000,0.15
2016-06-10,0.15,0.15,0.15,0.15,000,0.15


2016-06-13,0.15,0.15,0.15,0.15,000,0.15
2016-06-14,0.15,0.15,0.15,0.15,60000,0.15
