Date,Open,High,Low,Close,Volume,Adj Close
2015-05-07,21.40,21.40,21.40,21.40,000,21.40
2015-05-08,21.40,21.40,21.40,21.40,000,21.40
2015-05-11,21.40,21.40,21.40,21.40,000,21.40
2015-05-12,20.90,20.90,20.90,20.90,000,20.90
2015-05-13,20.90,20.90,20.90,20.90,000,20.90
2015-05-14,20.90,20.90,20.90,20.90,000,20.90
2015-05-15,20.90,20.90,20.90,20.90,000,20.90
2015-05-18,20.90,20.90,20.90,20.90,000,20.90
2015-05-19,20.90,20.90,20.90,20.90,000,20.90
2015-05-20,20.90,20.90,20.90,20.90,000,20.90
2015-05-21,20.90,20.90,20.90,20.90,000,20.90
2015-05-22,20.90,20.90,20.90,20.90,000,20.90
2015-05-25,20.90,20.90,20.90,20.90,000,20.90
2015-05-26,20.90,20.90,20.90,20.90,000,20.90
2015-05-27,20.90,20.90,20.90,20.90,000,20.90
2015-05-28,20.90,20.90,20.90,20.90,000,20.90
2015-05-29,20.90,20.90,20.90,20.90,000,20.90
2015-06-01,20.90,20.90,20.90,20.90,000,20.90
2015-06-02,20.90,20.90,20.90,20.90,000,20.90
2015-06-03,20.90,20.90,20.90,20.90,000,20.90
2015-06-04,20.90,20.90,20.90,20.90,000,20.90
2015-06-05,20.90,20.90,20.90,20.90,000,20.90
2015-06-08,20.90,20.90,20.90,20.90,000,20.90
2015-06-09,20.90,20.90,20.90,20.90,000,20.90
2015-06-10,20.90,20.90,20.90,20.90,000,20.90
2015-06-11,20.90,20.90,20.90,20.90,000,20.90
2015-06-12,20.90,20.90,20.90,20.90,000,20.90
2015-06-15,20.90,20.90,20.90,20.90,000,20.90
2015-06-16,20.90,20.90,20.90,20.90,000,20.90
2015-06-17,20.90,20.90,20.90,20.90,000,20.90
2015-06-18,20.90,20.90,20.90,20.90,000,20.90
2015-06-19,20.90,20.90,20.90,20.90,000,20.90
2015-06-22,20.90,20.90,20.90,20.90,000,20.90
2015-06-23,20.90,20.90,20.90,20.90,000,20.90
2015-06-24,20.90,20.90,20.90,20.90,000,20.90
2015-06-25,20.90,20.90,20.90,20.90,000,20.90
2015-06-26,20.90,20.90,20.90,20.90,000,20.90
2015-06-29,18.98,18.98,18.98,18.98,1000,18.98
2015-06-30,18.98,18.98,18.98,18.98,000,18.98
2015-07-01,18.98,18.98,18.98,18.98,000,18.98
2015-07-02,18.98,18.98,18.98,18.98,000,18.98
2015-07-03,18.98,18.98,18.98,18.98,000,18.98
2015-07-06,18.98,18.98,18.98,18.98,000,18.98
2015-07-07,18.98,18.98,18.98,18.98,000,18.98
2015-07-08,18.98,18.98,18.98,18.98,000,18.98
2015-07-09,18.98,18.98,18.98,18.98,000,18.98
2015-07-10,18.98,18.98,18.98,18.98,000,18.98
2015-07-13,18.00,18.00,18.00,18.00,2000,18.00
2015-07-14,18.00,18.00,18.00,18.00,000,18.00
2015-07-15,18.00,18.00,18.00,18.00,000,18.00
2015-07-16,18.00,18.00,18.00,18.00,000,18.00
2015-07-17,18.00,18.00,18.00,18.00,000,18.00
2015-07-20,18.00,18.00,18.00,18.00,000,18.00
2015-07-21,18.00,18.00,18.00,18.00,000,18.00
2015-07-22,18.00,18.00,18.00,18.00,000,18.00
2015-07-23,18.00,18.00,18.00,18.00,000,18.00
2015-07-24,18.00,18.00,18.00,18.00,000,18.00
2015-07-27,18.00,18.00,18.00,18.00,000,18.00
2015-07-28,18.00,18.00,18.00,18.00,000,18.00
2015-07-29,18.00,18.00,18.00,18.00,000,18.00
2015-07-30,18.00,18.00,18.00,18.00,000,18.00
2015-07-31,18.00,18.00,18.00,18.00,000,18.00
2015-08-03,18.00,18.00,18.00,18.00,000,18.00
2015-08-04,18.00,18.00,18.00,18.00,000,18.00
2015-08-05,18.00,18.00,18.00,18.00,000,18.00
2015-08-06,18.00,18.00,18.00,18.00,000,18.00
2015-08-07,17.00,17.00,16.70,16.70,100,16.70
2015-08-10,16.70,16.70,16.70,16.70,000,16.70
2015-08-11,16.70,16.70,16.70,16.70,000,16.70
2015-08-12,16.70,16.70,16.70,16.70,000,16.70
2015-08-13,16.70,16.70,16.70,16.70,000,16.70
2015-08-14,16.70,16.70,16.70,16.70,000,16.70
2015-08-17,16.70,16.70,16.70,16.70,000,16.70
2015-08-18,16.70,16.70,16.70,16.70,000,16.70
2015-08-19,16.70,16.70,16.70,16.70,000,16.70
2015-08-20,16.70,16.70,16.70,16.70,000,16.70
2015-08-21,16.70,16.70,16.70,16.70,000,16.70
2015-08-24,16.70,16.70,16.70,16.70,000,16.70
2015-08-25,16.70,16.70,16.70,16.70,000,16.70
2015-08-26,16.70,16.70,16.70,16.70,000,16.70
2015-08-27,13.50,13.50,13.50,13.50,500,13.50
2015-08-28,13.00,13.00,13.00,13.00,400,13.00
2015-08-31,12.70,12.70,12.70,12.70,300,12.70
2015-09-01,12.85,13.00,12.85,13.00,500,13.00
2015-09-02,13.00,13.00,13.00,13.00,000,13.00
2015-09-03,13.00,13.00,13.00,13.00,000,13.00
2015-09-04,13.00,13.00,13.00,13.00,000,13.00
2015-09-07,13.00,13.00,13.00,13.00,000,13.00
2015-09-08,13.00,13.00,13.00,13.00,000,13.00
2015-09-09,13.00,13.00,13.00,13.00,000,13.00
2015-09-10,13.00,13.00,13.00,13.00,000,13.00
2015-09-11,13.00,13.00,13.00,13.00,000,13.00
2015-09-14,13.00,13.00,13.00,13.00,000,13.00
2015-09-15,13.00,13.00,13.00,13.00,000,13.00
2015-09-16,13.00,13.00,13.00,13.00,000,13.00
2015-09-17,13.00,13.00,13.00,13.00,000,13.00
2015-09-18,13.00,13.00,13.00,13.00,000,13.00
2015-09-21,13.00,13.00,13.00,13.00,000,13.00
2015-09-22,13.00,13.00,13.00,13.00,000,13.00
2015-09-23,13.00,13.00,13.00,13.00,000,13.00
2015-09-24,13.00,13.00,13.00,13.00,000,13.00
2015-09-25,13.00,13.00,13.00,13.00,000,13.00
2015-09-28,13.05,13.05,13.05,13.05,000,13.05
2015-09-29,13.50,13.50,13.50,13.50,000,13.50
2015-09-30,13.50,13.50,13.50,13.50,000,13.50
2015-10-01,13.50,13.50,13.50,13.50,000,13.50
2015-10-02,13.50,13.50,13.50,13.50,000,13.50
2015-10-05,13.50,13.50,13.50,13.50,000,13.50
2015-10-06,13.50,13.50,13.50,13.50,000,13.50
2015-10-07,13.50,13.50,13.50,13.50,000,13.50
2015-10-08,13.50,13.50,13.50,13.50,000,13.50
2015-10-09,13.50,13.50,13.50,13.50,000,13.50
2015-10-12,13.50,13.50,13.50,13.50,000,13.50
2015-10-13,13.50,13.50,13.50,13.50,000,13.50
2015-10-14,13.50,13.50,13.50,13.50,000,13.50
2015-10-15,13.50,13.50,13.50,13.50,000,13.50
2015-10-16,13.50,13.50,13.50,13.50,000,13.50
2015-10-19,13.50,13.50,13.50,13.50,000,13.50
2015-10-20,13.50,13.50,13.50,13.50,000,13.50
2015-10-21,13.50,13.50,13.50,13.50,000,13.50
2015-10-22,13.50,13.50,13.50,13.50,000,13.50
2015-10-23,13.50,13.50,13.50,13.50,000,13.50
2015-10-26,13.50,13.50,13.50,13.50,000,13.50
2015-10-27,12.22,12.22,12.22,12.22,1400,12.22
2015-10-28,12.22,12.22,12.22,12.22,000,12.22
2015-10-29,12.22,12.22,12.22,12.22,000,12.22
2015-10-30,12.22,12.22,12.22,12.22,000,12.22
2015-11-02,12.22,12.22,12.22,12.22,000,12.22
2015-11-03,12.22,12.22,12.22,12.22,000,12.22
2015-11-04,12.22,12.22,12.22,12.22,000,12.22
2015-11-05,12.22,12.22,12.22,12.22,000,12.22
2015-11-06,12.22,12.22,12.22,12.22,000,12.22
2015-11-09,13.22,13.22,13.22,13.22,1000,13.22
2015-11-10,13.22,13.22,13.22,13.22,000,13.22
2015-11-11,13.22,13.22,13.22,13.22,000,13.22
2015-11-12,13.22,13.22,13.22,13.22,000,13.22
2015-11-13,13.22,13.22,13.22,13.22,000,13.22
2015-11-16,13.22,13.22,13.22,13.22,000,13.22
2015-11-17,13.22,13.22,13.22,13.22,000,13.22
2015-11-18,13.22,13.22,13.22,13.22,000,13.22
2015-11-19,13.22,13.22,13.22,13.22,000,13.22
2015-11-20,13.22,13.22,13.22,13.22,000,13.22
2015-11-23,13.22,13.22,13.22,13.22,000,13.22
2015-11-24,13.22,13.22,13.22,13.22,000,13.22
2015-11-25,13.22,13.22,13.22,13.22,000,13.22
2015-11-26,13.22,13.22,13.22,13.22,000,13.22
2015-11-27,13.22,13.22,13.22,13.22,000,13.22
2015-11-30,13.22,13.22,13.22,13.22,000,13.22
2015-12-01,13.22,13.22,13.22,13.22,000,13.22
2015-12-02,13.22,13.22,13.22,13.22,000,13.22
2015-12-03,13.22,13.22,13.22,13.22,000,13.22
2015-12-04,13.22,13.22,13.22,13.22,000,13.22
2015-12-07,12.92,13.00,12.92,13.00,800,13.00
2015-12-08,13.00,13.00,13.00,13.00,000,13.00
2015-12-09,13.00,13.00,13.00,13.00,000,13.00
2015-12-10,13.00,13.00,13.00,13.00,000,13.00
2015-12-11,13.00,13.00,13.00,13.00,000,13.00
2015-12-14,13.00,13.00,13.00,13.00,000,13.00
2015-12-15,13.00,13.00,13.00,13.00,000,13.00
2015-12-16,12.43,12.43,12.43,12.43,000,12.43
2015-12-17,12.43,12.43,12.43,12.43,000,12.43
2015-12-18,12.43,12.43,12.43,12.43,000,12.43
2015-12-21,12.43,12.43,12.43,12.43,000,12.43
2015-12-22,12.43,12.43,12.43,12.43,000,12.43
2015-12-23,12.43,12.43,12.43,12.43,000,12.43
2015-12-24,12.00,12.00,12.00,12.00,000,12.00
2015-12-25,12.00,12.00,12.00,12.00,000,12.00
2015-12-28,12.00,12.00,12.00,12.00,000,12.00
2015-12-29,12.00,12.00,12.00,12.00,000,12.00
2015-12-30,12.10,12.10,12.10,12.10,200,12.10
2015-12-31,12.10,12.10,12.10,12.10,000,12.10
2016-01-01,12.10,12.10,12.10,12.10,000,12.10
2016-01-04,12.10,12.10,12.10,12.10,000,12.10
2016-01-05,12.10,12.10,12.10,12.10,000,12.10
2016-01-06,12.10,12.10,12.10,12.10,000,12.10
2016-01-07,12.10,12.10,12.10,12.10,000,12.10
2016-01-08,12.10,12.10,12.10,12.10,000,12.10
2016-01-11,12.10,12.10,12.10,12.10,000,12.10
2016-01-12,12.10,12.10,12.10,12.10,000,12.10
2016-01-13,12.10,12.10,12.10,12.10,000,12.10
2016-01-14,12.10,12.10,12.10,12.10,000,12.10
2016-01-15,12.10,12.10,12.10,12.10,000,12.10
2016-01-18,12.10,12.10,12.10,12.10,000,12.10
2016-01-19,12.10,12.10,12.10,12.10,000,12.10
2016-01-20,12.10,12.10,12.10,12.10,000,12.10
2016-01-21,12.10,12.10,12.10,12.10,000,12.10
2016-01-22,12.10,12.10,12.10,12.10,000,12.10
2016-01-25,12.10,12.10,12.10,12.10,000,12.10
2016-01-26,12.10,12.10,12.10,12.10,000,12.10
2016-01-27,12.10,12.10,12.10,12.10,000,12.10
2016-01-28,12.10,12.10,12.10,12.10,000,12.10
2016-01-29,12.10,12.10,12.10,12.10,000,12.10
2016-02-01,12.10,12.10,12.10,12.10,000,12.10
2016-02-02,12.10,12.10,12.10,12.10,000,12.10
2016-02-03,12.10,12.10,12.10,12.10,000,12.10
2016-02-04,12.10,12.10,12.10,12.10,000,12.10
2016-02-05,12.10,12.10,12.10,12.10,000,12.10
2016-02-08,12.10,12.10,12.10,12.10,000,12.10
2016-02-09,12.10,12.10,12.10,12.10,000,12.10
2016-02-10,12.10,12.10,12.10,12.10,000,12.10
2016-02-11,12.10,12.10,12.10,12.10,000,12.10
2016-02-12,12.10,12.10,12.10,12.10,000,12.10
2016-02-15,12.10,12.10,12.10,12.10,000,12.10
2016-02-16,12.10,12.10,12.10,12.10,000,12.10
2016-02-17,12.10,12.10,12.10,12.10,000,12.10
2016-02-18,12.10,12.10,12.10,12.10,000,12.10
2016-02-19,12.10,12.10,12.10,12.10,000,12.10
2016-02-22,12.10,12.10,12.10,12.10,000,12.10
2016-02-23,12.10,12.10,12.10,12.10,000,12.10
2016-02-24,12.10,12.10,12.10,12.10,000,12.10
2016-02-25,11.70,12.00,11.70,12.00,000,12.00
2016-02-26,12.00,12.00,12.00,12.00,000,12.00
2016-02-29,12.00,12.00,12.00,12.00,000,12.00
2016-03-01,12.00,12.00,12.00,12.00,000,12.00
2016-03-02,12.00,12.00,12.00,12.00,000,12.00
2016-03-03,12.00,12.00,12.00,12.00,000,12.00
2016-03-04,12.00,12.00,12.00,12.00,000,12.00
2016-03-07,12.00,12.00,12.00,12.00,000,12.00
2016-03-08,12.00,12.00,12.00,12.00,000,12.00
2016-03-09,12.00,12.00,12.00,12.00,000,12.00
2016-03-10,12.00,12.00,12.00,12.00,000,12.00
2016-03-11,12.00,12.00,12.00,12.00,000,12.00
2016-03-14,12.00,12.00,12.00,12.00,000,12.00
2016-03-15,12.00,12.00,12.00,12.00,000,12.00
2016-03-16,12.00,12.00,12.00,12.00,000,12.00
2016-03-17,12.00,12.00,12.00,12.00,000,12.00
2016-03-18,12.00,12.00,12.00,12.00,000,12.00
2016-03-21,12.00,12.00,12.00,12.00,000,12.00
2016-03-22,12.00,12.00,12.00,12.00,000,12.00
2016-03-23,12.00,12.00,12.00,12.00,000,12.00
2016-03-24,12.00,12.00,12.00,12.00,000,12.00
2016-03-25,12.00,12.00,12.00,12.00,000,12.00
2016-03-28,12.00,12.00,12.00,12.00,000,12.00
2016-03-29,12.00,12.00,12.00,12.00,000,12.00
2016-03-30,12.00,12.00,12.00,12.00,000,12.00
2016-03-31,12.00,12.00,12.00,12.00,000,12.00
2016-04-01,12.00,12.00,12.00,12.00,000,12.00
2016-04-04,12.00,12.00,12.00,12.00,000,12.00
2016-04-05,12.00,12.00,12.00,12.00,000,12.00
2016-04-06,12.00,12.00,12.00,12.00,000,12.00
2016-04-07,12.00,12.00,12.00,12.00,000,12.00
2016-04-08,12.00,12.00,12.00,12.00,000,12.00
2016-04-11,12.00,12.00,12.00,12.00,000,12.00
2016-04-12,12.00,12.00,12.00,12.00,400,12.00
2016-04-13,12.00,12.00,12.00,12.00,000,12.00
2016-04-14,12.00,12.00,12.00,12.00,000,12.00
2016-04-15,12.00,12.00,12.00,12.00,000,12.00


2016-04-18,12.00,12.00,12.00,12.00,000,12.00
2016-04-19,12.00,12.00,12.00,12.00,000,12.00
2016-04-20,12.00,12.00,12.00,12.00,000,12.00
2016-04-21,12.00,12.00,12.00,12.00,000,12.00
2016-04-22,12.00,12.00,12.00,12.00,000,12.00


2016-04-25,12.00,12.00,12.00,12.00,000,12.00
2016-04-26,12.00,12.00,12.00,12.00,000,12.00
2016-04-27,12.00,12.00,12.00,12.00,000,12.00
2016-04-28,12.00,12.00,12.00,12.00,000,12.00
2016-04-29,12.00,12.00,12.00,12.00,000,12.00


2016-05-02,12.00,12.00,12.00,12.00,000,12.00
2016-05-03,12.00,12.00,12.00,12.00,000,12.00
2016-05-04,12.00,12.00,12.00,12.00,1500,12.00
2016-05-05,12.00,12.00,12.00,12.00,000,12.00
2016-05-06,12.00,12.00,12.00,12.00,000,12.00


2016-05-09,12.00,12.00,12.00,12.00,000,12.00
2016-05-10,12.00,12.00,12.00,12.00,000,12.00
2016-05-11,12.00,12.00,12.00,12.00,000,12.00
2016-05-12,12.00,12.00,12.00,12.00,000,12.00
2016-05-13,12.00,12.00,12.00,12.00,000,12.00


2016-05-16,12.00,12.00,12.00,12.00,100,12.00
2016-05-17,12.00,12.00,12.00,12.00,000,12.00
2016-05-18,12.00,12.00,12.00,12.00,000,12.00
2016-05-19,12.00,12.00,12.00,12.00,000,12.00
2016-05-20,12.00,12.00,12.00,12.00,000,12.00


2016-05-23,12.00,12.00,12.00,12.00,000,12.00
2016-05-24,12.00,12.00,12.00,12.00,000,12.00
2016-05-25,12.00,12.00,12.00,12.00,000,12.00
2016-05-26,12.00,12.00,12.00,12.00,000,12.00
2016-05-27,12.00,12.00,12.00,12.00,000,12.00


2016-05-30,12.00,12.00,12.00,12.00,000,12.00
2016-05-31,15.50,15.50,15.50,15.50,400,15.50
2016-06-01,15.50,15.50,15.50,15.50,000,15.50
2016-06-02,15.50,15.50,15.50,15.50,000,15.50
2016-06-03,14.28,14.28,14.25,14.25,1100,14.25


2016-06-06,14.25,14.25,14.25,14.25,000,14.25
2016-06-07,14.25,14.25,14.25,14.25,000,14.25
2016-06-08,14.25,14.25,14.25,14.25,000,14.25
2016-06-09,14.25,14.25,14.25,14.25,000,14.25
2016-06-10,14.25,14.25,14.25,14.25,000,14.25


2016-06-13,14.25,14.25,14.25,14.25,000,14.25
2016-06-14,14.25,14.25,14.25,14.25,000,14.25
