Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,10.89,10.89,10.89,10.89,000,10.89
2015-01-02,10.80,11.035,10.78,10.96,1243900,10.96
2015-01-05,11.01,11.47,11.01,11.45,3076700,11.45
2015-01-06,11.70,11.93,11.55,11.73,4601000,11.73
2015-01-07,11.95,11.95,11.64,11.69,3689600,11.69
2015-01-08,11.70,11.70,11.46,11.64,3211300,11.64
2015-01-09,11.74,12.23,11.72,12.18,6289000,12.18
2015-01-12,12.23,12.66,12.23,12.48,3660800,12.48
2015-01-13,12.62,13.09,12.62,12.95,5977200,12.95
2015-01-14,12.64,12.78,12.30,12.44,5537000,12.44
2015-01-15,12.32,12.40,11.91,12.14,5338400,12.14
2015-01-16,12.74,13.025,12.73,12.97,8399100,12.97
2015-01-19,13.30,13.33,12.95,12.97,3077700,12.97
2015-01-20,13.00,13.25,12.85,13.20,2134800,13.20
2015-01-21,13.50,13.74,13.46,13.74,5494500,13.74
2015-01-22,13.60,13.74,13.51,13.65,4282300,13.65
2015-01-23,13.85,13.88,13.68,13.80,3987600,13.80
2015-01-26,13.80,13.80,13.80,13.80,000,13.80
2015-01-27,13.45,13.61,13.35,13.56,6111400,13.56
2015-01-28,13.82,13.93,13.74,13.80,5435700,13.80
2015-01-29,13.43,13.74,13.40,13.70,4823300,13.70
2015-01-30,13.35,13.80,13.03,13.56,9395600,13.56
2015-02-02,13.69,13.97,13.61,13.91,4852400,13.91
2015-02-03,13.98,14.00,13.69,14.00,3157600,14.00
2015-02-04,13.86,13.94,13.65,13.88,3216800,13.88
2015-02-05,14.00,14.41,13.98,14.39,3575700,14.39
2015-02-06,14.35,14.45,14.19,14.23,2392500,14.23
2015-02-09,13.80,13.97,13.75,13.88,4088100,13.88
2015-02-10,14.00,14.14,13.95,14.12,2711400,14.12
2015-02-11,14.09,14.10,13.92,14.07,1854000,14.07
2015-02-12,13.90,14.06,13.72,13.91,4263100,13.91
2015-02-13,13.76,14.09,13.72,13.90,2648400,13.90
2015-02-16,13.71,13.76,13.41,13.63,3518600,13.63
2015-02-17,13.60,13.93,13.55,13.81,2767300,13.81
2015-02-18,13.60,14.07,13.59,13.94,3571900,13.94
2015-02-19,13.95,14.09,13.87,14.02,3283000,14.02
2015-02-20,13.90,14.04,13.86,13.93,1697300,13.93
2015-02-23,13.90,13.90,13.71,13.75,3339100,13.75
2015-02-24,13.75,13.96,13.70,13.82,2776200,13.82
2015-02-25,13.80,14.10,13.77,14.01,2241000,14.01
2015-02-26,13.90,14.06,13.86,13.93,1900400,13.93
2015-02-27,14.00,14.49,13.98,14.39,6942900,14.39
2015-03-02,14.35,14.49,14.02,14.46,2151100,14.46
2015-03-03,14.40,14.43,13.88,13.89,5540600,13.89
2015-03-04,13.86,13.89,13.72,13.77,3987600,13.77
2015-03-05,13.75,13.80,13.63,13.75,4152900,13.75
2015-03-06,13.60,13.70,13.14,13.28,2427600,13.28
2015-03-09,12.70,12.95,12.58,12.65,3833800,12.65
2015-03-10,12.36,12.51,12.34,12.42,7495800,12.42
2015-03-11,12.10,12.34,12.06,12.29,3899100,12.29
2015-03-12,12.30,12.61,12.29,12.41,2558700,12.41
2015-03-13,12.31,12.50,12.30,12.43,2660400,12.43
2015-03-16,12.40,12.68,12.35,12.53,2233300,12.53
2015-03-17,12.53,12.705,12.50,12.58,2669200,12.58
2015-03-18,12.50,12.595,12.32,12.49,2874700,12.49
2015-03-19,13.03,13.32,13.00,13.30,5861500,13.30
2015-03-20,13.20,13.30,12.87,12.95,7997900,12.95
2015-03-23,13.28,13.475,13.26,13.40,3960600,13.40
2015-03-24,13.60,13.84,13.60,13.75,3196800,13.75
2015-03-25,13.70,13.94,13.69,13.77,4385500,13.77
2015-03-26,13.70,13.75,13.56,13.66,4097500,13.66
2015-03-27,13.46,13.73,13.45,13.65,6346600,13.65
2015-03-30,13.40,13.57,13.28,13.29,1574200,13.29
2015-03-31,13.43,13.56,13.33,13.37,2640400,13.37
2015-04-01,13.19,13.29,13.09,13.14,2342600,13.14
2015-04-02,13.55,13.80,13.49,13.78,3349500,13.78
2015-04-03,13.78,13.78,13.78,13.78,000,13.78
2015-04-06,13.78,13.78,13.78,13.78,000,13.78
2015-04-07,14.00,14.08,13.86,13.93,2119300,13.93
2015-04-08,13.66,14.23,13.52,14.23,2672500,14.23
2015-04-09,14.23,14.26,14.03,14.12,4021600,14.12
2015-04-10,13.85,14.09,13.81,14.06,2409500,14.06
2015-04-13,14.24,14.63,14.18,14.56,2646900,14.56
2015-04-14,14.32,14.52,14.25,14.40,1571300,14.40
2015-04-15,14.31,14.44,14.18,14.26,2656400,14.26
2015-04-16,14.57,14.68,14.28,14.48,4759200,14.48
2015-04-17,14.49,14.50,14.15,14.18,2439600,14.18
2015-04-20,14.07,14.23,14.01,14.21,1961700,14.21
2015-04-21,14.25,14.50,14.25,14.50,1775800,14.50
2015-04-22,14.56,14.75,14.35,14.60,3801800,14.60
2015-04-23,14.50,14.53,14.00,14.10,3026200,14.10
2015-04-24,14.29,14.46,14.09,14.17,3611500,14.17
2015-04-27,13.96,14.465,13.96,14.33,3309300,14.33
2015-04-28,14.47,14.90,14.47,14.84,5588300,14.84
