Date,Open,High,Low,Close,Volume,Adj Close
2015-06-19,0.011,0.011,0.011,0.011,100000,0.011
2015-06-22,0.011,0.011,0.01,0.01,632200,0.01
2015-06-23,0.011,0.011,0.011,0.011,45400,0.011
2015-06-24,0.01,0.01,0.01,0.01,1007500,0.01
2015-06-25,0.01,0.012,0.01,0.012,7738200,0.012
2015-06-26,0.012,0.012,0.012,0.012,000,0.012
2015-06-29,0.012,0.012,0.011,0.011,604500,0.011
2015-06-30,0.01,0.012,0.01,0.012,867300,0.012
2015-07-01,0.012,0.012,0.011,0.011,1963900,0.011
2015-07-02,0.012,0.013,0.012,0.013,4398400,0.013
2015-07-03,0.013,0.013,0.013,0.013,894600,0.013
2015-07-06,0.012,0.012,0.012,0.012,453900,0.012
2015-07-07,0.012,0.012,0.012,0.012,1553600,0.012
2015-07-08,0.011,0.012,0.011,0.012,956500,0.012
2015-07-09,0.012,0.012,0.012,0.012,435400,0.012
2015-07-10,0.013,0.013,0.013,0.013,1669200,0.013
2015-07-13,0.013,0.013,0.013,0.013,2527200,0.013
2015-07-14,0.013,0.013,0.013,0.013,2395000,0.013
2015-07-15,0.013,0.014,0.012,0.013,5212000,0.013
2015-07-16,0.014,0.015,0.014,0.015,4672500,0.015
2015-07-17,0.015,0.016,0.015,0.015,2005800,0.015
2015-07-20,0.016,0.016,0.014,0.014,641500,0.014
2015-07-21,0.014,0.014,0.013,0.013,1170600,0.013
2015-07-22,0.013,0.014,0.013,0.014,545000,0.014
2015-07-23,0.013,0.013,0.013,0.013,1598500,0.013
2015-07-24,0.012,0.012,0.012,0.012,633300,0.012
2015-07-27,0.013,0.013,0.012,0.012,6255300,0.012
2015-07-28,0.012,0.012,0.012,0.012,910100,0.012
2015-07-29,0.012,0.012,0.012,0.012,70200,0.012
2015-07-30,0.012,0.012,0.011,0.012,577900,0.012
2015-07-31,0.012,0.012,0.012,0.012,000,0.012
2015-08-03,0.012,0.012,0.011,0.011,437200,0.011
2015-08-04,0.011,0.012,0.011,0.012,2082200,0.012
2015-08-05,0.012,0.012,0.012,0.012,000,0.012
2015-08-06,0.011,0.011,0.01,0.01,2377500,0.01
2015-08-07,0.011,0.011,0.011,0.011,3278000,0.011
2015-08-10,0.011,0.011,0.011,0.011,2441900,0.011
2015-08-11,0.011,0.011,0.01,0.011,1389400,0.011
2015-08-12,0.011,0.011,0.011,0.011,12800,0.011
2015-08-13,0.011,0.011,0.011,0.011,391600,0.011
2015-08-14,0.011,0.011,0.011,0.011,2091300,0.011
2015-08-17,0.011,0.011,0.011,0.011,271000,0.011
2015-08-18,0.011,0.011,0.011,0.011,000,0.011
2015-08-19,0.011,0.011,0.011,0.011,000,0.011
2015-08-20,0.011,0.011,0.011,0.011,660000,0.011
2015-08-21,0.011,0.011,0.011,0.011,3059300,0.011
2015-08-24,0.012,0.012,0.011,0.012,2348000,0.012
2015-08-25,0.011,0.012,0.011,0.012,517200,0.012
2015-08-26,0.012,0.012,0.012,0.012,000,0.012
2015-08-27,0.011,0.011,0.011,0.011,866200,0.011
2015-08-28,0.011,0.011,0.011,0.011,1492500,0.011
2015-08-31,0.011,0.012,0.011,0.011,1516700,0.011
2015-09-01,0.012,0.012,0.011,0.011,1439200,0.011
2015-09-02,0.011,0.011,0.011,0.011,702800,0.011
2015-09-03,0.011,0.012,0.011,0.012,2551000,0.012
2015-09-04,0.012,0.012,0.012,0.012,000,0.012
2015-09-07,0.012,0.012,0.012,0.012,000,0.012
2015-09-08,0.012,0.012,0.012,0.012,291600,0.012
2015-09-09,0.011,0.012,0.011,0.011,2762000,0.011
2015-09-10,0.011,0.011,0.01,0.011,808900,0.011
2015-09-11,0.012,0.012,0.011,0.011,1298800,0.011
2015-09-14,0.012,0.012,0.012,0.012,772000,0.012
2015-09-15,0.012,0.012,0.011,0.011,421400,0.011
2015-09-16,0.012,0.012,0.012,0.012,846700,0.012
2015-09-17,0.011,0.011,0.011,0.011,2036400,0.011
2015-09-18,0.012,0.013,0.012,0.013,4160200,0.013
2015-09-21,0.013,0.013,0.012,0.012,4074000,0.012
2015-09-22,0.011,0.012,0.011,0.012,85000,0.012
2015-09-23,0.012,0.013,0.012,0.013,1297400,0.013
2015-09-24,0.012,0.012,0.011,0.012,2824000,0.012
2015-09-25,0.012,0.012,0.012,0.012,39900,0.012
2015-09-28,0.011,0.012,0.011,0.011,3653600,0.011
2015-09-29,0.011,0.011,0.011,0.011,781100,0.011
2015-09-30,0.011,0.011,0.01,0.01,2060000,0.01
2015-10-01,0.011,0.011,0.011,0.011,609600,0.011
2015-10-02,0.011,0.011,0.011,0.011,000,0.011
2015-10-05,0.012,0.012,0.012,0.012,50000,0.012
2015-10-06,0.012,0.012,0.012,0.012,000,0.012
2015-10-07,0.011,0.011,0.011,0.011,1392600,0.011
2015-10-08,0.011,0.011,0.011,0.011,640100,0.011
2015-10-09,0.01,0.011,0.01,0.011,1958700,0.011
2015-10-12,0.01,0.011,0.01,0.011,99700,0.011
2015-10-13,0.011,0.011,0.011,0.011,892600,0.011
2015-10-14,0.011,0.011,0.011,0.011,1499300,0.011
2015-10-15,0.011,0.012,0.011,0.011,2942600,0.011
2015-10-16,0.012,0.012,0.01,0.011,4224800,0.011
2015-10-19,0.011,0.011,0.011,0.011,1550000,0.011
2015-10-20,0.011,0.011,0.01,0.01,687600,0.01
2015-10-21,0.011,0.011,0.01,0.011,3980700,0.011
2015-10-22,0.011,0.011,0.01,0.01,4349700,0.01
2015-10-23,0.01,0.01,0.01,0.01,2575800,0.01
2015-10-26,0.01,0.011,0.01,0.011,1057600,0.011
2015-10-27,0.011,0.011,0.011,0.011,000,0.011
2015-10-28,0.01,0.01,0.01,0.01,830000,0.01
2015-10-29,0.01,0.01,0.01,0.01,000,0.01
2015-10-30,0.01,0.01,0.01,0.01,000,0.01
2015-11-02,0.01,0.01,0.01,0.01,1336000,0.01
2015-11-03,0.01,0.01,0.01,0.01,000,0.01
2015-11-04,0.01,0.01,0.009,0.009,1573500,0.009
2015-11-05,0.009,0.009,0.009,0.009,000,0.009
2015-11-06,0.009,0.009,0.009,0.009,000,0.009
2015-11-09,0.01,0.01,0.01,0.01,6875900,0.01
2015-11-10,0.009,0.009,0.009,0.009,390600,0.009
2015-11-11,0.01,0.01,0.01,0.01,300000,0.01
2015-11-12,0.009,0.01,0.009,0.01,4712500,0.01
2015-11-13,0.01,0.01,0.009,0.01,2681300,0.01
2015-11-16,0.01,0.011,0.009,0.011,3085600,0.011
2015-11-17,0.011,0.011,0.011,0.011,164500,0.011
2015-11-18,0.011,0.011,0.011,0.011,000,0.011
2015-11-19,0.011,0.012,0.011,0.011,2982000,0.011
2015-11-20,0.011,0.011,0.011,0.011,1390900,0.011
2015-11-23,0.011,0.011,0.011,0.011,000,0.011
2015-11-24,0.011,0.012,0.01,0.01,3021600,0.01
2015-11-25,0.011,0.011,0.011,0.011,937000,0.011
2015-11-26,0.011,0.011,0.01,0.011,1749300,0.011
2015-11-27,0.011,0.011,0.011,0.011,000,0.011
2015-11-30,0.011,0.011,0.011,0.011,145400,0.011
2015-12-01,0.011,0.011,0.011,0.011,450800,0.011
2015-12-02,0.011,0.011,0.011,0.011,681800,0.011
2015-12-03,0.011,0.011,0.01,0.011,2342500,0.011
2015-12-04,0.01,0.01,0.01,0.01,2164600,0.01
2015-12-07,0.01,0.01,0.01,0.01,000,0.01
2015-12-08,0.01,0.01,0.01,0.01,1000000,0.01
2015-12-09,0.011,0.011,0.01,0.01,4062400,0.01
2015-12-10,0.01,0.01,0.009,0.009,2883300,0.009
2015-12-11,0.009,0.009,0.009,0.009,000,0.009
2015-12-14,0.01,0.011,0.01,0.011,685700,0.011
2015-12-15,0.011,0.011,0.011,0.011,1665900,0.011
2015-12-16,0.011,0.011,0.011,0.011,388400,0.011
2015-12-17,0.011,0.011,0.01,0.01,3775100,0.01
2015-12-18,0.01,0.011,0.01,0.01,956400,0.01
2015-12-21,0.01,0.01,0.01,0.01,902800,0.01
2015-12-22,0.01,0.01,0.01,0.01,000,0.01
2015-12-23,0.009,0.01,0.009,0.01,1255000,0.01
2015-12-24,0.009,0.01,0.009,0.01,2719300,0.01
2015-12-25,0.01,0.01,0.01,0.01,000,0.01
2015-12-28,0.01,0.01,0.01,0.01,000,0.01
2015-12-29,0.01,0.01,0.01,0.01,460000,0.01
2015-12-30,0.01,0.01,0.009,0.01,409000,0.01
2015-12-31,0.01,0.01,0.01,0.01,500000,0.01
2016-01-01,0.01,0.01,0.01,0.01,000,0.01
2016-01-04,0.01,0.01,0.009,0.01,660000,0.01
2016-01-05,0.01,0.01,0.01,0.01,000,0.01
2016-01-06,0.01,0.01,0.01,0.01,1037500,0.01
2016-01-07,0.01,0.01,0.01,0.01,3759400,0.01
2016-01-08,0.01,0.01,0.01,0.01,200000,0.01
2016-01-11,0.01,0.01,0.01,0.01,491600,0.01
2016-01-12,0.01,0.01,0.009,0.009,906200,0.009
2016-01-13,0.01,0.01,0.01,0.01,3310800,0.01
2016-01-14,0.01,0.01,0.01,0.01,000,0.01
2016-01-15,0.01,0.01,0.009,0.009,1453800,0.009
2016-01-18,0.01,0.011,0.01,0.011,9507300,0.011
2016-01-19,0.011,0.011,0.01,0.01,4860000,0.01
2016-01-20,0.01,0.01,0.009,0.009,6128000,0.009
2016-01-21,0.009,0.009,0.009,0.009,000,0.009
2016-01-22,0.01,0.01,0.01,0.01,100000,0.01
2016-01-25,0.01,0.01,0.01,0.01,2242600,0.01
2016-01-26,0.01,0.01,0.01,0.01,000,0.01
2016-01-27,0.01,0.01,0.01,0.01,612200,0.01
2016-01-28,0.01,0.01,0.01,0.01,678800,0.01
2016-01-29,0.01,0.01,0.01,0.01,000,0.01
2016-02-01,0.01,0.01,0.01,0.01,000,0.01
2016-02-02,0.011,0.011,0.011,0.011,378800,0.011
2016-02-03,0.01,0.01,0.01,0.01,3000000,0.01
2016-02-04,0.01,0.011,0.01,0.01,804900,0.01
2016-02-05,0.011,0.011,0.011,0.011,800700,0.011
2016-02-08,0.011,0.011,0.011,0.011,000,0.011
2016-02-09,0.011,0.011,0.011,0.011,000,0.011
2016-02-10,0.011,0.011,0.011,0.011,000,0.011
2016-02-11,0.011,0.011,0.011,0.011,000,0.011
2016-02-12,0.011,0.011,0.011,0.011,000,0.011
2016-02-15,0.011,0.011,0.01,0.01,2083200,0.01
2016-02-16,0.011,0.011,0.01,0.01,4323500,0.01
2016-02-17,0.011,0.011,0.011,0.011,1714500,0.011
2016-02-18,0.011,0.011,0.011,0.011,1534000,0.011
2016-02-19,0.011,0.012,0.011,0.012,2679800,0.012
2016-02-22,0.012,0.012,0.012,0.012,000,0.012
2016-02-23,0.012,0.012,0.012,0.012,1318400,0.012
2016-02-24,0.012,0.012,0.012,0.012,758500,0.012
2016-02-25,0.011,0.011,0.011,0.011,22000,0.011
2016-02-26,0.012,0.014,0.012,0.013,7715400,0.013
2016-02-29,0.014,0.015,0.013,0.015,10754100,0.015
2016-03-01,0.015,0.015,0.013,0.013,2592000,0.013
2016-03-02,0.015,0.015,0.011,0.011,16591800,0.011
2016-03-03,0.012,0.012,0.012,0.012,1325400,0.012
2016-03-04,0.012,0.012,0.012,0.012,1844800,0.012
2016-03-07,0.012,0.012,0.012,0.012,1925700,0.012
2016-03-08,0.012,0.012,0.012,0.012,000,0.012
2016-03-09,0.012,0.012,0.011,0.012,1366400,0.012
2016-03-10,0.012,0.012,0.012,0.012,1000000,0.012
2016-03-11,0.012,0.012,0.012,0.012,453500,0.012
2016-03-14,0.012,0.012,0.012,0.012,000,0.012
2016-03-15,0.012,0.012,0.011,0.011,2361400,0.011
2016-03-16,0.012,0.012,0.012,0.012,215800,0.012
2016-03-17,0.012,0.012,0.011,0.011,2741200,0.011
2016-03-18,0.011,0.012,0.01,0.011,5581700,0.011
2016-03-21,0.011,0.011,0.011,0.011,6729800,0.011
2016-03-22,0.012,0.012,0.011,0.012,5337900,0.012
2016-03-23,0.012,0.012,0.011,0.011,1430500,0.011
2016-03-24,0.011,0.011,0.011,0.011,645600,0.011
2016-03-25,0.011,0.011,0.011,0.011,000,0.011
2016-03-28,0.011,0.011,0.011,0.011,000,0.011
2016-03-29,0.012,0.012,0.012,0.012,845300,0.012
2016-03-30,0.012,0.012,0.012,0.012,650000,0.012
2016-03-31,0.011,0.012,0.011,0.012,1271900,0.012
2016-04-01,0.012,0.012,0.012,0.012,5228900,0.012
2016-04-04,0.012,0.012,0.011,0.011,1049400,0.011
2016-04-05,0.012,0.012,0.01,0.01,2092600,0.01
2016-04-06,0.011,0.011,0.011,0.011,400000,0.011
2016-04-07,0.012,0.012,0.012,0.012,1780000,0.012
2016-04-08,0.012,0.012,0.012,0.012,2646100,0.012
2016-04-11,0.012,0.012,0.012,0.012,579600,0.012
2016-04-12,0.012,0.012,0.012,0.012,883300,0.012
2016-04-13,0.012,0.013,0.012,0.013,4882100,0.013
2016-04-14,0.013,0.013,0.011,0.011,2288900,0.011
2016-04-15,0.012,0.013,0.012,0.013,2440000,0.013


2016-04-18,0.013,0.013,0.013,0.013,1983400,0.013
2016-04-19,0.013,0.013,0.012,0.012,1888800,0.012
2016-04-20,0.012,0.012,0.011,0.012,5416300,0.012
2016-04-21,0.012,0.012,0.012,0.012,125700,0.012
2016-04-22,0.012,0.012,0.012,0.012,1188900,0.012


2016-04-25,0.012,0.012,0.012,0.012,000,0.012
2016-04-26,0.012,0.013,0.012,0.013,2789300,0.013
2016-04-27,0.013,0.013,0.013,0.013,1071400,0.013
2016-04-28,0.013,0.013,0.013,0.013,2834200,0.013
2016-04-29,0.013,0.014,0.013,0.014,1936700,0.014


2016-05-02,0.015,0.023,0.015,0.016,43035400,0.016
2016-05-03,0.017,0.018,0.016,0.016,10257800,0.016
2016-05-04,0.018,0.018,0.016,0.016,4773900,0.016
2016-05-05,0.017,0.018,0.016,0.016,6177000,0.016
2016-05-06,0.017,0.017,0.017,0.017,3406900,0.017


2016-05-09,0.018,0.019,0.018,0.019,14907300,0.019
2016-05-10,0.02,0.02,0.019,0.019,4102000,0.019
2016-05-11,0.019,0.02,0.019,0.019,2004900,0.019
2016-05-12,0.02,0.021,0.019,0.019,9201100,0.019
2016-05-13,0.02,0.021,0.02,0.021,9861700,0.021


2016-05-16,0.022,0.032,0.022,0.028,33322200,0.028
2016-05-17,0.03,0.03,0.027,0.028,11742300,0.028
2016-05-18,0.029,0.029,0.027,0.027,6334100,0.027
2016-05-19,0.028,0.028,0.027,0.028,2069200,0.028
2016-05-20,0.028,0.029,0.027,0.028,4144300,0.028


2016-05-23,0.029,0.029,0.028,0.029,5666800,0.029
2016-05-24,0.029,0.029,0.028,0.028,4551900,0.028
2016-05-25,0.027,0.028,0.022,0.022,8915500,0.022
2016-05-26,0.025,0.027,0.025,0.027,1204200,0.027
2016-05-27,0.027,0.028,0.024,0.024,4763800,0.024


2016-05-30,0.026,0.027,0.024,0.025,5261400,0.025
2016-05-31,0.025,0.026,0.025,0.025,1224200,0.025
2016-06-01,0.026,0.027,0.025,0.026,4961100,0.026
2016-06-02,0.026,0.027,0.026,0.026,2612600,0.026
2016-06-03,0.026,0.028,0.026,0.028,3556600,0.028


2016-06-06,0.028,0.029,0.028,0.029,3105300,0.029
2016-06-07,0.029,0.029,0.027,0.028,3753000,0.028
2016-06-08,0.028,0.028,0.026,0.026,6020000,0.026
2016-06-09,0.027,0.028,0.026,0.026,2511300,0.026
2016-06-10,0.027,0.027,0.026,0.026,527900,0.026


2016-06-13,0.026,0.026,0.026,0.026,000,0.026
2016-06-14,0.027,0.028,0.027,0.027,1806100,0.027
