Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.86,0.86,0.86,0.86,000,0.86
2015-01-02,0.865,0.875,0.865,0.87,154000,0.87
2015-01-05,0.87,0.89,0.865,0.875,703100,0.875
2015-01-06,0.88,0.885,0.87,0.875,309100,0.875
2015-01-07,0.875,0.875,0.87,0.87,392900,0.87
2015-01-08,0.872,0.875,0.865,0.875,335500,0.875
2015-01-09,0.875,0.875,0.85,0.85,1146100,0.85
2015-01-12,0.85,0.86,0.85,0.85,491300,0.85
2015-01-13,0.86,0.86,0.852,0.86,211400,0.86
2015-01-14,0.86,0.86,0.85,0.855,183900,0.855
2015-01-15,0.86,0.865,0.855,0.86,1414600,0.86
2015-01-16,0.857,0.862,0.855,0.86,544800,0.86
2015-01-19,0.86,0.86,0.855,0.855,464000,0.855
2015-01-20,0.86,0.86,0.855,0.86,4554800,0.86
2015-01-21,0.86,0.86,0.855,0.86,441900,0.86
2015-01-22,0.86,0.86,0.855,0.855,951500,0.855
2015-01-23,0.86,0.86,0.855,0.855,358100,0.855
2015-01-26,0.855,0.855,0.855,0.855,000,0.855
2015-01-27,0.86,0.86,0.85,0.855,6098600,0.855
2015-01-28,0.85,0.86,0.85,0.855,370800,0.855
2015-01-29,0.852,0.855,0.845,0.845,555000,0.845
2015-01-30,0.84,0.8475,0.83,0.845,579100,0.845
2015-02-02,0.845,0.855,0.84,0.855,1131900,0.855
2015-02-03,0.85,0.86,0.845,0.86,899500,0.86
2015-02-04,0.86,0.865,0.85,0.86,727800,0.86
2015-02-05,0.86,0.87,0.855,0.87,988900,0.87
2015-02-06,0.87,0.885,0.87,0.88,275400,0.88
2015-02-09,0.88,0.895,0.875,0.895,347100,0.895
2015-02-10,0.89,0.895,0.87,0.895,493900,0.895
2015-02-11,0.892,0.90,0.885,0.90,184500,0.90
2015-02-12,0.895,0.90,0.88,0.89,710300,0.89
2015-02-13,0.89,0.90,0.885,0.895,584800,0.895
2015-02-16,0.89,0.915,0.89,0.91,1501800,0.91
2015-02-17,0.91,0.915,0.90,0.915,495500,0.915
2015-02-18,0.91,0.915,0.90,0.91,777200,0.91
2015-02-19,0.905,0.91,0.90,0.905,867600,0.905
2015-02-20,0.91,0.91,0.905,0.905,423200,0.905
2015-02-23,0.915,0.9225,0.90,0.91,5865500,0.91
2015-02-24,0.915,0.92,0.91,0.915,1753200,0.915
2015-02-25,0.915,0.925,0.912,0.92,1172400,0.92
2015-02-26,0.92,0.925,0.915,0.92,4965400,0.92
2015-02-27,0.92,0.94,0.91,0.92,3155400,0.92
2015-03-02,0.93,0.945,0.92,0.94,1075400,0.94
2015-03-03,0.945,0.955,0.94,0.95,3055800,0.95
2015-03-04,0.95,0.95,0.94,0.94,670900,0.94
2015-03-05,0.94,0.945,0.93,0.93,247300,0.93
2015-03-06,0.94,0.94,0.92,0.925,1303300,0.925
2015-03-09,0.93,0.93,0.92,0.92,797500,0.92
2015-03-10,0.92,0.93,0.92,0.925,563800,0.925
2015-03-11,0.925,0.935,0.92,0.935,1581700,0.935
2015-03-12,0.93,0.94,0.92,0.935,1268800,0.935
2015-03-13,0.937,0.94,0.925,0.935,1425900,0.935
2015-03-16,0.935,0.94,0.93,0.94,426900,0.94
2015-03-17,0.94,0.945,0.93,0.94,1345000,0.94
2015-03-18,0.94,0.94,0.93,0.935,1816300,0.935
2015-03-19,0.935,0.94,0.93,0.94,1086600,0.94
2015-03-20,0.937,0.9375,0.925,0.93,1936200,0.93
2015-03-23,0.93,0.94,0.925,0.935,1541600,0.935
2015-03-24,0.935,0.935,0.925,0.925,1666500,0.925
2015-03-25,0.927,0.93,0.925,0.93,957100,0.93
2015-03-26,0.922,0.925,0.915,0.915,1538300,0.915
2015-03-27,0.922,0.93,0.92,0.925,4165600,0.925
2015-03-30,0.922,0.925,0.92,0.92,200600,0.92
2015-03-31,0.925,0.93,0.915,0.925,1096600,0.925
2015-04-01,0.92,0.922,0.915,0.92,557200,0.92
2015-04-02,0.92,0.925,0.915,0.92,901700,0.92
2015-04-03,0.92,0.92,0.92,0.92,000,0.92
2015-04-06,0.92,0.92,0.92,0.92,000,0.92
2015-04-07,0.92,0.92,0.915,0.915,299300,0.915
2015-04-08,0.915,0.922,0.915,0.92,1033200,0.92
2015-04-09,0.92,0.92,0.92,0.92,527000,0.92
2015-04-10,0.92,0.92,0.915,0.92,1361200,0.92
2015-04-13,0.915,0.92,0.915,0.92,1146100,0.92
2015-04-14,0.92,0.92,0.915,0.92,1610900,0.92
2015-04-15,0.92,0.92,0.915,0.92,746800,0.92
2015-04-16,0.92,0.92,0.915,0.92,549500,0.92
2015-04-17,0.92,0.92,0.915,0.92,1571800,0.92
2015-04-20,0.92,0.925,0.915,0.925,501800,0.925
2015-04-21,0.92,0.9325,0.915,0.925,5918200,0.925
2015-04-22,0.925,0.9325,0.925,0.93,1046100,0.93
2015-04-23,0.93,0.935,0.925,0.925,255800,0.925
2015-04-24,0.925,0.94,0.925,0.94,1415900,0.94
2015-04-27,0.94,0.945,0.937,0.945,783400,0.945
2015-04-28,0.94,0.95,0.94,0.945,625100,0.945
2015-04-29,0.95,0.95,0.945,0.95,257600,0.95
2015-04-30,0.94,0.95,0.94,0.94,1511100,0.94
2015-05-01,0.95,0.95,0.935,0.945,575100,0.945
2015-05-04,0.95,0.95,0.94,0.945,177000,0.945
2015-05-05,0.945,0.965,0.945,0.965,677900,0.965
2015-05-06,0.96,0.97,0.95,0.955,2449000,0.955
2015-05-07,0.955,0.96,0.945,0.95,1279100,0.95
2015-05-08,0.95,0.955,0.94,0.95,1287900,0.95
2015-05-11,0.95,0.955,0.935,0.935,773000,0.935
2015-05-12,0.94,0.945,0.935,0.94,1483500,0.94
2015-05-13,0.945,0.945,0.937,0.94,896300,0.94
2015-05-14,0.94,0.9425,0.935,0.94,790000,0.94
2015-05-15,0.94,0.945,0.935,0.945,2257000,0.945
2015-05-18,0.94,0.94,0.935,0.94,508300,0.94
2015-05-19,0.94,0.94,0.93,0.93,689000,0.93
2015-05-20,0.93,0.94,0.93,0.935,753900,0.935
2015-05-21,0.94,0.94,0.93,0.935,1503300,0.935
2015-05-22,0.94,0.94,0.93,0.935,859400,0.935
2015-05-25,0.94,0.94,0.89,0.925,2354700,0.925
2015-05-26,0.93,0.93,0.925,0.93,780200,0.93
2015-05-27,0.925,0.927,0.92,0.925,3506000,0.925
2015-05-28,0.925,0.93,0.92,0.925,2106300,0.925
2015-05-29,0.92,0.9275,0.92,0.925,2091900,0.925
2015-06-01,0.925,0.925,0.92,0.925,558000,0.925
2015-06-02,0.925,0.925,0.91,0.925,1083800,0.925
2015-06-03,0.92,0.925,0.915,0.915,896000,0.915
2015-06-04,0.915,0.915,0.90,0.90,457500,0.90
2015-06-05,0.90,0.905,0.89,0.90,3605100,0.90
2015-06-08,0.90,0.90,0.90,0.90,000,0.90
2015-06-09,0.895,0.90,0.892,0.895,1629300,0.895
2015-06-10,0.895,0.90,0.89,0.89,487800,0.89
