Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.855,1.855,1.855,1.855,000,1.855
2015-01-02,1.85,1.86,1.83,1.845,1940500,1.845
2015-01-05,1.83,1.86,1.765,1.78,5453700,1.78
2015-01-06,1.73,1.73,1.615,1.63,14941200,1.63
2015-01-07,1.64,1.645,1.615,1.63,19905000,1.63
2015-01-08,1.63,1.635,1.56,1.57,11601500,1.57
2015-01-09,1.61,1.64,1.60,1.625,7136300,1.625
2015-01-12,1.62,1.64,1.60,1.625,3349400,1.625
2015-01-13,1.63,1.635,1.59,1.595,3132600,1.595
2015-01-14,1.60,1.615,1.585,1.585,3578100,1.585
2015-01-15,1.57,1.582,1.55,1.57,11224600,1.57
2015-01-16,1.555,1.56,1.515,1.54,10673300,1.54
2015-01-19,1.555,1.5575,1.51,1.525,9888000,1.525
2015-01-20,1.525,1.53,1.48,1.51,9995700,1.51
2015-01-21,1.515,1.515,1.46,1.475,14855200,1.475
2015-01-22,1.495,1.505,1.45,1.455,8715600,1.455
2015-01-23,1.495,1.495,1.455,1.49,6209800,1.49
2015-01-26,1.49,1.49,1.49,1.49,000,1.49
2015-01-27,1.51,1.54,1.48,1.52,11010800,1.52
2015-01-28,1.51,1.53,1.50,1.52,5984300,1.52
2015-01-29,1.52,1.525,1.47,1.48,8037300,1.48
2015-01-30,1.485,1.50,1.45,1.46,14518800,1.46
2015-02-02,1.47,1.47,1.415,1.42,8292900,1.42
2015-02-03,1.43,1.47,1.425,1.455,11036400,1.455
2015-02-04,1.48,1.52,1.455,1.505,10400300,1.505
2015-02-05,1.515,1.555,1.495,1.545,8307000,1.545
2015-02-06,1.555,1.575,1.49,1.50,10881000,1.50
2015-02-09,1.50,1.535,1.495,1.525,4687500,1.525
2015-02-10,1.535,1.54,1.49,1.495,6627300,1.495
2015-02-11,1.505,1.51,1.47,1.475,7171200,1.475
2015-02-12,1.47,1.485,1.45,1.465,13535000,1.465
2015-02-13,1.475,1.502,1.455,1.47,9305700,1.47
2015-02-16,1.475,1.52,1.455,1.51,6720300,1.51
2015-02-17,1.525,1.63,1.522,1.62,11733000,1.62
2015-02-18,1.65,1.692,1.522,1.54,16875900,1.54
2015-02-19,1.58,1.595,1.55,1.58,6554500,1.58
2015-02-20,1.60,1.67,1.577,1.66,8350600,1.66
2015-02-23,1.67,1.69,1.595,1.615,7565400,1.615
2015-02-24,1.60,1.61,1.555,1.57,10839400,1.57
2015-02-25,1.59,1.67,1.58,1.67,8774700,1.67
2015-02-26,1.655,1.657,1.565,1.565,14424300,1.565
2015-02-27,1.56,1.585,1.507,1.57,97328900,1.57
2015-03-02,1.57,1.572,1.46,1.46,15987300,1.46
2015-03-03,1.50,1.52,1.46,1.485,12954500,1.485
2015-03-04,1.50,1.515,1.46,1.47,8582600,1.47
2015-03-05,1.45,1.48,1.43,1.475,6596900,1.475
2015-03-06,1.465,1.485,1.447,1.475,5479400,1.475
2015-03-09,1.47,1.475,1.405,1.42,7767300,1.42
2015-03-10,1.41,1.415,1.37,1.37,14578500,1.37
2015-03-11,1.335,1.36,1.295,1.345,11239500,1.345
2015-03-12,1.36,1.445,1.357,1.41,14234700,1.41
2015-03-13,1.445,1.45,1.38,1.405,9129200,1.405
2015-03-16,1.43,1.455,1.42,1.43,12638100,1.43
2015-03-17,1.445,1.515,1.44,1.495,10468200,1.495
2015-03-18,1.49,1.49,1.445,1.47,9065300,1.47
2015-03-19,1.47,1.495,1.47,1.475,10831500,1.475
2015-03-20,1.495,1.515,1.465,1.515,44508700,1.515
2015-03-23,1.48,1.52,1.475,1.505,5760300,1.505
2015-03-24,1.49,1.52,1.48,1.515,8391800,1.515
2015-03-25,1.515,1.5175,1.49,1.50,8838800,1.50
2015-03-26,1.485,1.495,1.455,1.48,9449000,1.48
2015-03-27,1.48,1.48,1.45,1.47,7137700,1.47
2015-03-30,1.45,1.54,1.45,1.51,11017600,1.51
2015-03-31,1.50,1.572,1.495,1.55,11183900,1.55
2015-04-01,1.52,1.54,1.465,1.475,9751100,1.475
2015-04-02,1.47,1.495,1.44,1.46,5314900,1.46
2015-04-03,1.46,1.46,1.46,1.46,000,1.46
2015-04-06,1.46,1.46,1.46,1.46,000,1.46
2015-04-07,1.465,1.47,1.45,1.45,5413500,1.45
2015-04-08,1.45,1.485,1.445,1.455,4715500,1.455
2015-04-09,1.455,1.475,1.44,1.44,7317100,1.44
2015-04-10,1.45,1.465,1.445,1.46,2951800,1.46
2015-04-13,1.465,1.47,1.435,1.445,3804700,1.445
2015-04-14,1.435,1.445,1.41,1.44,4853000,1.44
2015-04-15,1.435,1.44,1.40,1.40,4606400,1.40
2015-04-16,1.415,1.435,1.405,1.42,3625900,1.42
2015-04-17,1.42,1.445,1.395,1.395,4884000,1.395
2015-04-20,1.39,1.395,1.37,1.37,3442200,1.37
2015-04-21,1.38,1.39,1.335,1.345,5647500,1.345
2015-04-22,1.345,1.38,1.34,1.34,4204000,1.34
2015-04-23,1.345,1.365,1.335,1.34,4650500,1.34
2015-04-24,1.34,1.35,1.305,1.31,9921300,1.31
2015-04-27,1.315,1.345,1.292,1.335,11576300,1.335
2015-04-28,1.33,1.38,1.327,1.365,7161100,1.365
2015-04-29,1.355,1.365,1.33,1.34,7921300,1.34
2015-04-30,1.32,1.355,1.32,1.325,4730500,1.325
2015-05-01,1.32,1.34,1.31,1.315,5779900,1.315
2015-05-04,1.315,1.34,1.305,1.305,5711400,1.305
2015-05-05,1.32,1.335,1.305,1.31,4463900,1.31
2015-05-06,1.31,1.34,1.29,1.295,10118200,1.295
2015-05-07,1.295,1.30,1.235,1.245,11936400,1.245
2015-05-08,1.25,1.285,1.25,1.265,5827600,1.265
2015-05-11,1.265,1.27,1.235,1.24,5046900,1.24
2015-05-12,1.25,1.275,1.235,1.27,10892800,1.27
2015-05-13,1.27,1.315,1.265,1.305,9206500,1.305
2015-05-14,1.295,1.295,1.27,1.285,4611600,1.285
2015-05-15,1.35,1.45,1.34,1.44,18719700,1.44
2015-05-18,1.43,1.44,1.395,1.40,6796800,1.40
2015-05-19,1.395,1.40,1.335,1.36,7744000,1.36
2015-05-20,1.35,1.352,1.30,1.325,5663000,1.325
2015-05-21,1.335,1.365,1.32,1.36,8001900,1.36
2015-05-22,1.36,1.39,1.345,1.375,4347700,1.375
2015-05-25,1.38,1.385,1.355,1.38,2412400,1.38
2015-05-26,1.37,1.40,1.37,1.395,2778400,1.395
2015-05-27,1.38,1.38,1.35,1.355,3533800,1.355
2015-05-28,1.365,1.385,1.357,1.38,4034700,1.38
2015-05-29,1.385,1.41,1.375,1.38,11499000,1.38
2015-06-01,1.38,1.43,1.38,1.43,5315800,1.43
2015-06-02,1.43,1.47,1.425,1.44,9542500,1.44
2015-06-03,1.435,1.435,1.365,1.385,7057200,1.385
2015-06-04,1.20,1.21,1.12,1.14,30475800,1.14
2015-06-05,1.10,1.12,1.07,1.12,26663300,1.12
2015-06-08,1.12,1.12,1.12,1.12,000,1.12
2015-06-09,1.095,1.125,1.08,1.115,13142600,1.115
2015-06-10,1.105,1.13,1.10,1.105,11447400,1.105
2015-06-11,1.11,1.12,1.095,1.10,5167400,1.10
2015-06-12,1.10,1.115,1.095,1.105,6164100,1.105
2015-06-15,1.10,1.145,1.095,1.13,12792600,1.13
2015-06-16,1.12,1.135,1.12,1.13,9940200,1.13
2015-06-17,1.12,1.15,1.117,1.135,13638100,1.135
2015-06-18,1.13,1.14,1.11,1.135,12471100,1.135
2015-06-19,1.12,1.17,1.11,1.17,74950900,1.17
2015-06-22,1.16,1.215,1.15,1.20,5991800,1.20
2015-06-23,1.21,1.21,1.14,1.165,8483000,1.165
2015-06-24,1.15,1.1725,1.14,1.16,8632400,1.16
2015-06-25,1.15,1.155,1.125,1.13,4333400,1.13
2015-06-26,1.13,1.14,1.09,1.105,6222400,1.105
2015-06-29,1.075,1.10,1.05,1.08,7402000,1.08
2015-06-30,1.075,1.105,1.07,1.105,8411500,1.105
